run_id,K,bin_width,va_pct,va_expansion_rule,construction,placebo_type,timestamp,git_sha
job2_placebo_pm_040,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_041,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_042,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_043,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_044,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_045,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_046,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_047,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_048,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_049,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_050,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_051,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_052,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_053,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_054,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_055,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_056,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_057,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_058,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_059,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_060,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_061,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_062,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_063,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
job2_placebo_pm_064,15,1.0,0.7,paired,bar_uniform,proximity_matched,2026-08-07T05:34:13.498953+00:00,4ab34b62
