tag,side,K,outcome,lift,ci_lo,ci_hi,n_cond_exc,n_cond_clusters,powered,null_spanning
2025H2,below,45,poc_before_stop_80,0.0605109133032557,0.0372833512450571,0.08299720398471562,236,168,True,False
2025H2,below,60,touched_poc,0.059269739020499035,0.03370226887390303,0.08624111174069181,239,169,True,False
2025H2,below,60,reached_opposite_edge,0.04731946660245029,0.027692792616799675,0.06903334109610304,239,169,True,False
2025H2,below,60,poc_before_stop_10,0.021718190301315415,0.013274336316651494,0.03219201774791075,239,169,True,False
2025H2,below,60,poc_before_stop_20,0.03052286204509197,0.01996838764107565,0.04401955167323604,239,169,True,False
2025H2,below,60,poc_before_stop_30,0.036392643207609654,0.024171912295264004,0.05080742124517849,239,169,True,False
2025H2,below,60,poc_before_stop_40,0.04578429306763798,0.03096906345686832,0.06395793393517764,239,169,True,False
2025H2,below,60,poc_before_stop_60,0.05987176785768039,0.04226000585074284,0.0815250800375282,239,169,True,False
2025H2,below,60,poc_before_stop_80,0.058472050811233856,0.03656068596407828,0.08183827048530674,239,169,True,False
2026H1,above,5,touched_poc,0.0628706660583942,0.006038932496075381,0.12325447389635719,137,103,True,False
2026H1,above,5,reached_opposite_edge,0.027172673357664212,-0.020019044323109848,0.07980756734363903,137,103,True,True
2026H1,above,5,poc_before_stop_10,0.04781592153284672,0.012177080251903396,0.08645178087650797,137,103,True,False
2026H1,above,5,poc_before_stop_20,0.05645529197080293,0.01707123482514107,0.10039072729867536,137,103,True,False
2026H1,above,5,poc_before_stop_30,0.07136747262773724,0.030377869797663312,0.11642752892001827,137,103,True,False
2026H1,above,5,poc_before_stop_40,0.07610059306569344,0.030184025938885972,0.12617463090760336,137,103,True,False
2026H1,above,5,poc_before_stop_60,0.11764370437956206,0.06168283567407176,0.17934220523155664,137,103,True,False
2026H1,above,5,poc_before_stop_80,0.11405109489051096,0.06122650149636495,0.17412669353647675,137,103,True,False
2026H1,above,10,touched_poc,0.0797857410179641,0.03601080985036215,0.12489542366401099,167,122,True,False
2026H1,above,10,reached_opposite_edge,0.038711639221556904,-0.000275088280310721,0.07614417121470919,167,122,True,True
2026H1,above,10,poc_before_stop_10,0.044231848802395196,0.022571167656318447,0.06745188536953244,167,122,True,False
2026H1,above,10,poc_before_stop_20,0.06296781437125748,0.038902487171723614,0.09345712436099059,167,122,True,False
2026H1,above,10,poc_before_stop_30,0.07805482784431139,0.04782646203342152,0.11130591308511127,167,122,True,False
2026H1,above,10,poc_before_stop_40,0.08090849550898205,0.0461705079827528,0.12001288027815468,167,122,True,False
2026H1,above,10,poc_before_stop_60,0.09884917664670656,0.06006836604810075,0.14255603940180162,167,122,True,False
