block,outcome,n,k,p,wilson_lo,wilson_hi
2025H2|below|per_excursion|failed_15,poc_before_stop_10,208,37.0,0.1778846153846154,0.13189823609109533,0.23555367137183933
2025H2|below|per_excursion|failed_15,poc_before_stop_20,208,51.0,0.24519230769230768,0.19169661396194332,0.30792952179231836
2025H2|below|per_excursion|failed_15,poc_before_stop_30,208,59.0,0.28365384615384615,0.2267480268386497,0.3484062393677989
2025H2|below|per_excursion|failed_15,poc_before_stop_40,208,73.0,0.35096153846153844,0.289336390876017,0.4179921036217587
2025H2|below|per_excursion|failed_15,poc_before_stop_60,208,92.0,0.4423076923076923,0.37646360148363367,0.510244202838086
2025H2|below|per_excursion|failed_15,poc_before_stop_80,208,105.0,0.5048076923076923,0.43739172918853736,0.5720492871179859
2025H2|below|per_excursion|failed_15,median_t_touched_poc,131,,15.0,,
2025H2|below|per_excursion|failed_20,touched_poc,218,139.0,0.6376146788990825,0.5719311445385835,0.6985321049150806
2025H2|below|per_excursion|failed_20,reached_opposite_edge,218,90.0,0.41284403669724773,0.34954627313820896,0.47916033554113713
2025H2|below|per_excursion|failed_20,poc_before_stop_10,218,37.0,0.16972477064220184,0.125715107267022,0.2251730940441839
2025H2|below|per_excursion|failed_20,poc_before_stop_20,218,51.0,0.23394495412844038,0.18265350896249882,0.29445087542708376
2025H2|below|per_excursion|failed_20,poc_before_stop_30,218,61.0,0.2798165137614679,0.22443296048057226,0.342825840393565
2025H2|below|per_excursion|failed_20,poc_before_stop_40,218,76.0,0.3486238532110092,0.2884815665418225,0.4140088590591469
2025H2|below|per_excursion|failed_20,poc_before_stop_60,218,96.0,0.44036697247706424,0.37606433248599186,0.5067349260840872
2025H2|below|per_excursion|failed_20,poc_before_stop_80,218,109.0,0.5,0.4342032289577344,0.5657967710422656
2025H2|below|per_excursion|failed_20,median_t_touched_poc,139,,17.0,,
2025H2|below|per_excursion|failed_30,touched_poc,227,143.0,0.6299559471365639,0.5654710987667786,0.6901154159688669
2025H2|below|per_excursion|failed_30,reached_opposite_edge,227,92.0,0.4052863436123348,0.34350935993641013,0.47021572254439054
2025H2|below|per_excursion|failed_30,poc_before_stop_10,227,37.0,0.16299559471365638,0.12062632983740744,0.2165815217803252
2025H2|below|per_excursion|failed_30,poc_before_stop_20,227,52.0,0.2290748898678414,0.1791845788352211,0.2879825175633483
2025H2|below|per_excursion|failed_30,poc_before_stop_30,227,62.0,0.27312775330396477,0.21930019419216465,0.3345063987269626
2025H2|below|per_excursion|failed_30,poc_before_stop_40,227,78.0,0.3436123348017621,0.2848944743222045,0.40753531302981527
2025H2|below|per_excursion|failed_30,poc_before_stop_60,227,100.0,0.44052863436123346,0.377467196197993,0.5055694834992539
2025H2|below|per_excursion|failed_30,poc_before_stop_80,227,113.0,0.4977973568281938,0.43333324338998325,0.5623347817839889
2025H2|below|per_excursion|failed_30,median_t_touched_poc,143,,17.0,,
2025H2|below|per_excursion|failed_45,touched_poc,236,148.0,0.6271186440677966,0.5638483301919794,0.686316778779942
2025H2|below|per_excursion|failed_45,reached_opposite_edge,236,97.0,0.4110169491525424,0.350156445742878,0.47472797797677696
2025H2|below|per_excursion|failed_45,poc_before_stop_10,236,37.0,0.15677966101694915,0.11593384538933339,0.20862036038647863
2025H2|below|per_excursion|failed_45,poc_before_stop_20,236,52.0,0.22033898305084745,0.17217180601231907,0.27746495424945367
2025H2|below|per_excursion|failed_45,poc_before_stop_30,236,62.0,0.2627118644067797,0.2106834176660068,0.32234171225307323
2025H2|below|per_excursion|failed_45,poc_before_stop_40,236,78.0,0.3305084745762712,0.27362840909794434,0.3928181122728271
2025H2|below|per_excursion|failed_45,poc_before_stop_60,236,102.0,0.4322033898305085,0.37058469995429966,0.49599390859400894
2025H2|below|per_excursion|failed_45,poc_before_stop_80,236,117.0,0.4957627118644068,0.43255320377469514,0.5591079592595741
2025H2|below|per_excursion|failed_45,median_t_touched_poc,148,,18.5,,
2025H2|below|per_excursion|failed_60,touched_poc,239,150.0,0.6276150627615062,0.5647580541241106,0.6864344927871269
2025H2|below|per_excursion|failed_60,reached_opposite_edge,239,99.0,0.41422594142259417,0.35361270724572164,0.47755295794508595
2025H2|below|per_excursion|failed_60,poc_before_stop_10,239,37.0,0.15481171548117154,0.11444984318211901,0.2060949069760087
2025H2|below|per_excursion|failed_60,poc_before_stop_20,239,52.0,0.2175732217573222,0.16995482838738366,0.2741272399238118
2025H2|below|per_excursion|failed_60,poc_before_stop_30,239,62.0,0.2594142259414226,0.2079600506388221,0.3184802297744184
2025H2|below|per_excursion|failed_60,poc_before_stop_40,239,78.0,0.3263598326359833,0.270069277237724,0.3881441425387888
2025H2|below|per_excursion|failed_60,poc_before_stop_60,239,102.0,0.42677824267782427,0.3657162405482403,0.49015688827318077
2025H2|below|per_excursion|failed_60,poc_before_stop_80,239,118.0,0.49372384937238495,0.4309404808663709,0.5567057873183225
2025H2|below|per_excursion|failed_60,median_t_touched_poc,150,,19.0,,
2025H2|below|clustered|UNCOND,touched_poc,193,109.0,0.5647668393782384,0.4942295937145469,0.6327760798829041
2025H2|below|clustered|UNCOND,reached_opposite_edge,193,71.0,0.36787564766839376,0.3030375407306363,0.43787088513056366
2025H2|below|clustered|UNCOND,poc_before_stop_10,193,23.0,0.11917098445595854,0.08073567658489572,0.17247096266209272
2025H2|below|clustered|UNCOND,poc_before_stop_20,193,33.0,0.17098445595854922,0.1244185311548362,0.23039264697011297
2025H2|below|clustered|UNCOND,poc_before_stop_30,193,41.0,0.21243523316062177,0.1606306505258256,0.27546415870149216
2025H2|below|clustered|UNCOND,poc_before_stop_40,193,52.0,0.2694300518134715,0.21178677099326715,0.33607303099980745
2025H2|below|clustered|UNCOND,poc_before_stop_60,193,67.0,0.3471502590673575,0.2835601071005864,0.4167065032094293
2025H2|below|clustered|UNCOND,poc_before_stop_80,193,81.0,0.41968911917098445,0.35229540446865304,0.49021756027050767
2025H2|below|clustered|UNCOND,median_t_touched_poc,109,,20.0,,
2025H2|below|clustered|failed_5,touched_poc,115,69.0,0.6,0.5086281361395726,0.6849067876581547
2025H2|below|clustered|failed_5,reached_opposite_edge,115,44.0,0.3826086956521739,0.29893754568342634,0.47386928290185015
2025H2|below|clustered|failed_5,poc_before_stop_10,115,23.0,0.2,0.1371296827840679,0.28226554582274993
2025H2|below|clustered|failed_5,poc_before_stop_20,115,30.0,0.2608695652173913,0.18927348744454847,0.34792560782175547
2025H2|below|clustered|failed_5,poc_before_stop_30,115,34.0,0.2956521739130435,0.21994658625708916,0.38456900424320695
2025H2|below|clustered|failed_5,poc_before_stop_40,115,40.0,0.34782608695652173,0.266972286412167,0.4385180469391173
2025H2|below|clustered|failed_5,poc_before_stop_60,115,48.0,0.41739130434782606,0.3313605835213601,0.5087627402979085
2025H2|below|clustered|failed_5,poc_before_stop_80,115,54.0,0.46956521739130436,0.3808140294499397,0.560284037220317
2025H2|below|clustered|failed_5,median_t_touched_poc,69,,15.0,,
2025H2|below|clustered|failed_10,touched_poc,137,87.0,0.635036496350365,0.5517592674020664,0.7109472056854305
2025H2|below|clustered|failed_10,reached_opposite_edge,137,56.0,0.40875912408759124,0.33001893020406003,0.4924766960881719
2025H2|below|clustered|failed_10,poc_before_stop_10,137,23.0,0.1678832116788321,0.11455228532881451,0.23933179437490942
2025H2|below|clustered|failed_10,poc_before_stop_20,137,32.0,0.23357664233576642,0.17058889348268463,0.3110983352906324
2025H2|below|clustered|failed_10,poc_before_stop_30,137,38.0,0.2773722627737226,0.20925573554693994,0.3576335926061058
2025H2|below|clustered|failed_10,poc_before_stop_40,137,47.0,0.34306569343065696,0.26882511598985337,0.42586736123278557
2025H2|below|clustered|failed_10,poc_before_stop_60,137,58.0,0.4233576642335766,0.34381999698482746,0.5070763291006474
2025H2|below|clustered|failed_10,poc_before_stop_80,137,68.0,0.49635036496350365,0.41387476724711403,0.5790250578045754
2025H2|below|clustered|failed_10,median_t_touched_poc,87,,16.0,,
2025H2|below|clustered|failed_15,touched_poc,148,93.0,0.6283783783783784,0.5481980168436767,0.70206278125118
2025H2|below|clustered|failed_15,reached_opposite_edge,148,62.0,0.4189189189189189,0.34246617038461147,0.4994743781870581
2025H2|below|clustered|failed_15,poc_before_stop_10,148,23.0,0.1554054054054054,0.10584197847720209,0.22240535295239297
2025H2|below|clustered|failed_15,poc_before_stop_20,148,32.0,0.21621621621621623,0.15752437094678887,0.28926754905405416
2025H2|below|clustered|failed_15,poc_before_stop_30,148,39.0,0.2635135135135135,0.19916966041712642,0.3398236062502427
2025H2|below|clustered|failed_15,poc_before_stop_40,148,49.0,0.3310810810810811,0.26037890863761337,0.4103305675533647
2025H2|below|clustered|failed_15,poc_before_stop_60,148,61.0,0.41216216216216217,0.3360598263435481,0.49270910127576056
2025H2|below|clustered|failed_15,poc_before_stop_80,148,72.0,0.4864864864864865,0.4073267494913731,0.5663300086039053
2025H2|below|clustered|failed_15,median_t_touched_poc,93,,17.0,,
2025H2|below|clustered|failed_20,touched_poc,155,98.0,0.632258064516129,0.5540030375055804,0.7041157424613802
2025H2|below|clustered|failed_20,reached_opposite_edge,155,65.0,0.41935483870967744,0.34454075364903425,0.49806974637111157
2025H2|below|clustered|failed_20,poc_before_stop_10,155,23.0,0.14838709677419354,0.10095748239517542,0.21282429769266048
2025H2|below|clustered|failed_20,poc_before_stop_20,155,32.0,0.2064516129032258,0.15020577115483125,0.2768964489184996
2025H2|below|clustered|failed_20,poc_before_stop_30,155,40.0,0.25806451612903225,0.19561574370323,0.33221575635720746
2025H2|below|clustered|failed_20,poc_before_stop_40,155,51.0,0.32903225806451614,0.2599794092229003,0.4063548508198088
2025H2|below|clustered|failed_20,poc_before_stop_60,155,63.0,0.4064516129032258,0.33229588047002695,0.4851322995533421
2025H2|below|clustered|failed_20,poc_before_stop_80,155,74.0,0.4774193548387097,0.40028508869414914,0.5556458513114916
2025H2|below|clustered|failed_20,median_t_touched_poc,98,,17.5,,
2025H2|below|clustered|failed_30,touched_poc,161,101.0,0.6273291925465838,0.550489148576989,0.6982344745860959
2025H2|below|clustered|failed_30,reached_opposite_edge,161,66.0,0.40993788819875776,0.33692634862711957,0.4871471862087471
2025H2|below|clustered|failed_30,poc_before_stop_10,161,23.0,0.14285714285714285,0.09711621813163507,0.2052443510450776
2025H2|below|clustered|failed_30,poc_before_stop_20,161,33.0,0.20496894409937888,0.14983694920066543,0.27385221664096676
2025H2|below|clustered|failed_30,poc_before_stop_30,161,41.0,0.2546583850931677,0.1936218725911707,0.32713017058239713
2025H2|below|clustered|failed_30,poc_before_stop_40,161,52.0,0.32298136645962733,0.25560186680153524,0.3986116327034441
2025H2|below|clustered|failed_30,poc_before_stop_60,161,66.0,0.40993788819875776,0.33692634862711957,0.4871471862087471
2025H2|below|clustered|failed_30,poc_before_stop_80,161,77.0,0.4782608695652174,0.40250844843068906,0.555026542736589
2025H2|below|clustered|failed_30,median_t_touched_poc,101,,19.0,,
2025H2|below|clustered|failed_45,touched_poc,168,104.0,0.6190476190476191,0.5437286900538629,0.6890438167198172
2025H2|below|clustered|failed_45,reached_opposite_edge,168,69.0,0.4107142857142857,0.33912610275529104,0.4862945171644491
2025H2|below|clustered|failed_45,poc_before_stop_10,168,23.0,0.13690476190476192,0.0929887434803875,0.1970551108598887
2025H2|below|clustered|failed_45,poc_before_stop_20,168,33.0,0.19642857142857142,0.14342590715855283,0.2630042005685633
2025H2|below|clustered|failed_45,poc_before_stop_30,168,41.0,0.24404761904761904,0.18529424789343119,0.3142448625431569
2025H2|below|clustered|failed_45,poc_before_stop_40,168,52.0,0.30952380952380953,0.24452943390947618,0.383034555252636
2025H2|below|clustered|failed_45,poc_before_stop_60,168,67.0,0.39880952380952384,0.32782500463210845,0.4743183646102637
2025H2|below|clustered|failed_45,poc_before_stop_80,168,79.0,0.47023809523809523,0.3962742953008555,0.5455325780057245
2025H2|below|clustered|failed_45,median_t_touched_poc,104,,19.0,,
2025H2|below|clustered|failed_60,touched_poc,169,105.0,0.621301775147929,0.546240220436174,0.6909711916312911
2025H2|below|clustered|failed_60,reached_opposite_edge,169,70.0,0.41420118343195267,0.3426469245847667,0.4895693937089773
2025H2|below|clustered|failed_60,poc_before_stop_10,169,23.0,0.13609467455621302,0.09242759174088258,0.19593817205672168
2025H2|below|clustered|failed_60,poc_before_stop_20,169,33.0,0.1952662721893491,0.1425546230655878,0.2615240246673653
2025H2|below|clustered|failed_60,poc_before_stop_30,169,41.0,0.24260355029585798,0.18416284281450737,0.31248611206672494
2025H2|below|clustered|failed_60,poc_before_stop_40,169,52.0,0.3076923076923077,0.24302579439503538,0.3809073328150807
