block,outcome,n,k,p,wilson_lo,wilson_hi
FIT|above|clustered|accepted_60,cont_before_reentry_0.5,73,65,0.8904109589041096,0.7983717410229372,0.9434139583898808
FIT|above|clustered|accepted_60,cont_before_reentry_0.75,73,57,0.7808219178082192,0.6732251787519996,0.8603399734572204
FIT|above|clustered|accepted_60,cont_before_reentry_1.0,73,49,0.6712328767123288,0.5572879107339749,0.768056694271647
FIT|above|clustered|accepted_60,cont_before_reentry_1.5,73,38,0.5205479452054794,0.4078139828476829,0.6312273697529917
FIT|above|clustered|accepted_60,cont_before_reentry_2.0,73,23,0.3150684931506849,0.22003473675403795,0.4285930898398903
FIT|above|clustered|accepted_60,cont_before_stop_10,73,33,0.4520547945205479,0.3431446980664788,0.565758812531947
FIT|above|clustered|accepted_60,cont_before_stop_20,73,40,0.547945205479452,0.43424118746805285,0.6568553019335212
FIT|above|clustered|accepted_60,cont_before_stop_30,73,44,0.6027397260273972,0.48807204465405685,0.7071347183493163
FIT|above|clustered|accepted_60,cont_before_stop_40,73,45,0.6164383561643836,0.5017387254305414,0.7194956059732815
FIT|above|clustered|accepted_60,cont_before_stop_60,73,48,0.6575342465753424,0.5432641175004692,0.7560529191047028
FIT|above|clustered|accepted_60,cont_before_stop_80,73,49,0.6712328767123288,0.5572879107339749,0.768056694271647
FIT|above|clustered|accepted_60,returned_to_poc,73,17,0.2328767123287671,0.15078759076763015,0.3416748254235996
FIT|below|per_excursion|UNCOND,cont_before_reentry_0.25,523,247,0.4722753346080306,0.4298468167393562,0.5151081754252715
FIT|below|per_excursion|UNCOND,cont_before_reentry_0.5,523,155,0.29636711281070743,0.25882912644145795,0.3368747815263258
FIT|below|per_excursion|UNCOND,cont_before_reentry_0.75,523,103,0.19694072657743786,0.16511952365450314,0.23318159759332543
FIT|below|per_excursion|UNCOND,cont_before_reentry_1.0,523,78,0.1491395793499044,0.1211717991759271,0.18222413614884606
FIT|below|per_excursion|UNCOND,cont_before_reentry_1.5,523,43,0.08221797323135756,0.06161052384172029,0.10891815119077523
FIT|below|per_excursion|UNCOND,cont_before_reentry_2.0,523,33,0.06309751434034416,0.04527829556570161,0.08728830509757173
FIT|below|per_excursion|UNCOND,cont_before_stop_10,523,52,0.0994263862332696,0.07662877531151242,0.12806576665328304
FIT|below|per_excursion|UNCOND,cont_before_stop_20,523,70,0.1338432122370937,0.10731629040239268,0.16570998542700274
FIT|below|per_excursion|UNCOND,cont_before_stop_30,523,78,0.1491395793499044,0.1211717991759271,0.18222413614884606
FIT|below|per_excursion|UNCOND,cont_before_stop_40,523,88,0.1682600382409178,0.13864273912744252,0.2027152705665528
FIT|below|per_excursion|UNCOND,cont_before_stop_60,523,105,0.20076481835564053,0.1686716517320349,0.2372218843896381
FIT|below|per_excursion|UNCOND,cont_before_stop_80,523,116,0.22179732313575526,0.1882914754658061,0.2593603424620113
FIT|below|per_excursion|UNCOND,returned_to_poc,523,290,0.5544933078393881,0.5116525385559005,0.5965393733963826
FIT|below|per_excursion|accepted_5,cont_before_reentry_0.25,213,189,0.8873239436619719,0.8378199373980543,0.9231041657260696
FIT|below|per_excursion|accepted_5,cont_before_reentry_0.5,213,139,0.6525821596244131,0.5864448421505286,0.7133131378680655
FIT|below|per_excursion|accepted_5,cont_before_reentry_0.75,213,99,0.4647887323943662,0.399023810551446,0.5318012709827246
FIT|below|per_excursion|accepted_5,cont_before_reentry_1.0,213,77,0.3615023474178404,0.2999619660079021,0.42795002135983545
FIT|below|per_excursion|accepted_5,cont_before_reentry_1.5,213,42,0.19718309859154928,0.14931926399828718,0.2557764371955797
FIT|below|per_excursion|accepted_5,cont_before_reentry_2.0,213,33,0.15492957746478872,0.11249513407942463,0.20959066495544693
FIT|below|per_excursion|accepted_5,cont_before_stop_10,213,51,0.23943661971830985,0.18706560480579557,0.3010399985470666
FIT|below|per_excursion|accepted_5,cont_before_stop_20,213,63,0.29577464788732394,0.23853861086467879,0.36024686203351053
FIT|below|per_excursion|accepted_5,cont_before_stop_30,213,69,0.323943661971831,0.26469571914167034,0.38942968852918247
FIT|below|per_excursion|accepted_5,cont_before_stop_40,213,73,0.3427230046948357,0.28227505950806336,0.40874363801123187
FIT|below|per_excursion|accepted_5,cont_before_stop_60,213,82,0.38497652582159625,0.32221615077481525,0.45181244890347527
FIT|below|per_excursion|accepted_5,cont_before_stop_80,213,87,0.4084507042253521,0.34462655151533156,0.47551866047351193
FIT|below|per_excursion|accepted_5,returned_to_poc,213,106,0.49765258215962443,0.43114386094634993,0.5642444778225949
FIT|below|per_excursion|accepted_10,cont_before_reentry_0.25,152,145,0.9539473684210527,0.9079985714145771,0.9775159510235909
FIT|below|per_excursion|accepted_10,cont_before_reentry_0.5,152,119,0.7828947368421053,0.7108172835321319,0.8410251000162917
FIT|below|per_excursion|accepted_10,cont_before_reentry_0.75,152,91,0.5986842105263158,0.519254675572563,0.6732484814792127
FIT|below|per_excursion|accepted_10,cont_before_reentry_1.0,152,72,0.47368421052631576,0.3959363726303488,0.5527294521558442
FIT|below|per_excursion|accepted_10,cont_before_reentry_1.5,152,42,0.27631578947368424,0.21140472817032446,0.3522547825123175
FIT|below|per_excursion|accepted_10,cont_before_reentry_2.0,152,33,0.21710526315789475,0.15897489998370834,0.28918271646786814
FIT|below|per_excursion|accepted_10,cont_before_stop_10,152,47,0.3092105263157895,0.24119850644698562,0.38662872325291486
FIT|below|per_excursion|accepted_10,cont_before_stop_20,152,59,0.3881578947368421,0.3143516886447191,0.46747806669660186
FIT|below|per_excursion|accepted_10,cont_before_stop_30,152,64,0.42105263157894735,0.3454563929691184,0.5005410813894611
