mo,lvltype,level,dir,risk,maxfav,stopped,cvd,hit30,hit50,hit80,hit100,hit150
2026-04,VWAP,VWAP-1^VAL,long,20.12,3.4,True,True,False,False,False,False,False
2026-04,VWAP,VWAP-1^VAL,short,39.75,170.2,True,True,True,True,True,True,True
2026-04,BB,BBbasis^POC,short,30.88,171.4,True,True,True,True,True,True,True
2026-04,BB,BBlower^VAL,long,16.88,0.0,True,False,False,False,False,False,False
2026-04,BB,BBlower^VAL,short,12.88,51.4,True,True,True,True,False,False,False
2026-04,BB,BBlower^VAL,short,31.38,0.0,True,False,False,False,False,False,False
2026-04,VWAP,VWAP-1^POC,long,33.62,31.4,True,True,True,False,False,False,False
2026-05,VWAP,VWAPmid^POC,short,23.5,0.0,True,True,False,False,False,False,False
2026-05,VWAP,VWAPmid^POC,long,32.0,84.8,True,False,True,True,True,False,False
2026-05,VWAP,VWAPmid^POC,long,25.0,8.8,True,True,False,False,False,False,False
2026-05,BB,BBbasis^POC,long,20.25,31.0,True,False,True,False,False,False,False
2026-05,VWAP,VWAPmid^POC,long,29.38,71.4,True,True,True,True,False,False,False
2026-05,VWAP,VWAPmid^POC,long,24.0,73.2,True,False,True,True,False,False,False
2026-05,VWAP,VWAP+1^VAH,short,12.0,37.5,True,False,True,False,False,False,False
2026-05,VWAP,VWAPmid^POC,long,31.38,58.9,True,True,True,True,False,False,False
2026-05,BB,BBupper^VAH,long,13.25,46.8,True,True,True,False,False,False,False
2026-05,BB,BBupper^VAH,short,10.75,19.8,True,True,False,False,False,False,False
2026-05,BB,BBupper^VAH,short,11.38,69.1,True,True,True,True,False,False,False
2026-05,BB,BBbasis^POC,long,15.75,7.0,True,True,False,False,False,False,False
2026-05,BB,BBbasis^POC,long,8.75,15.8,True,True,False,False,False,False,False
2026-05,BB,BBbasis^POC,short,12.38,65.4,True,True,True,True,False,False,False
