day,weekday,fill,window,branch,bias,conviction,counter,dir,pattern,entry,stop_dist,padded,derisk,target_kind,tgt_dist,reason,exit,exit_t,pts,R,dollars
2023-03-29,Wednesday,08:00,premarket,E4war,BULLISH,MEDIUM,True,short,B,12839.5,6.0,False,False,4R cap (no draw in dir),24.0,stop,12845.75,08:01,-6.25,-1.042,-130.0
2023-03-29,Wednesday,08:02,premarket,E4war,BULLISH,MEDIUM,False,long,B,12846.25,8.25,False,False,draw:equal-highs,9.13,stop,12837.75,08:21,-8.5,-1.03,-175.0
2023-03-29,Wednesday,10:08,intime,E4war,BULLISH,MEDIUM,True,short,B,12911.25,20.0,True,False,4R cap (no draw in dir),80.0,stop,12931.5,13:28,-20.25,-1.012,-410.0
2023-04-04,Tuesday,08:05,premarket,E4war,BULLISH,MEDIUM,False,long,B,13330.25,8.25,False,False,draw:LondonH,18.5,stop,13321.75,08:09,-8.5,-1.03,-175.0
2023-04-06,Thursday,08:06,premarket,E4war,BULLISH,MEDIUM,False,long,B,13062.25,5.0,False,False,4R cap,20.0,stop,13057.0,08:07,-5.25,-1.05,-110.0
2023-04-06,Thursday,08:46,premarket,E4war,BULLISH,MEDIUM,False,long,A,13031.0,5.75,False,False,4R cap,23.0,stop,13025.0,08:52,-6.0,-1.043,-125.0
2023-04-10,Monday,08:02,premarket,E4war,BEARISH,MEDIUM,False,short,B,13100.75,10.5,False,False,draw:LondonL,8.5,draw:LondonL,13092.25,08:05,8.5,0.81,165.0
2023-04-10,Monday,08:06,premarket,E4war,BEARISH,MEDIUM,False,short,B,13086.75,14.75,False,False,4R cap,59.0,4R cap,13027.75,09:31,59.0,4.0,1175.0
2023-04-10,Monday,09:58,intime,E4war,BEARISH,LOW,False,short,B2,12981.5,20.0,True,False,draw:PWL,28.25,stop,13001.75,10:12,-20.25,-1.012,-410.0
2023-04-11,Tuesday,08:30,premarket,E4war,BEARISH,MEDIUM,False,short,B,13142.25,8.25,False,False,draw:LondonL,16.75,stop,13150.75,08:36,-8.5,-1.03,-175.0
2023-04-11,Tuesday,08:56,premarket,E4war,BEARISH,MEDIUM,False,short,B,13144.25,6.0,False,False,draw:LondonL,18.75,stop,13150.5,09:13,-6.25,-1.042,-130.0
2023-04-11,Tuesday,10:00,intime,E4war,BEARISH,MEDIUM,False,short,B2,13106.75,20.0,True,False,4R cap,80.0,stop,13127.0,14:29,-20.25,-1.012,-410.0
2023-04-12,Wednesday,08:46,premarket,E4war,BULLISH,LOW,False,long,A,13188.25,8.75,False,False,draw:PDH,20.5,stop,13179.25,08:46,-9.0,-1.029,-185.0
2023-04-13,Thursday,08:19,premarket,E4war,BULLISH,MEDIUM,False,long,B,12975.75,6.25,False,False,4R cap,25.0,stop,12969.25,08:30,-6.5,-1.04,-135.0
2023-04-13,Thursday,08:54,premarket,E4war,BULLISH,MEDIUM,False,long,A,13016.25,9.0,False,False,4R cap,36.0,stop,13007.0,09:24,-9.25,-1.028,-190.0
2023-04-13,Thursday,10:04,intime,E4war,BULLISH,MEDIUM,False,long,B2,13066.25,20.0,True,False,draw:equal-highs,32.37,draw:equal-highs,13098.62,10:07,32.37,1.619,642.4
2023-04-17,Monday,08:01,premarket,E4war,BULLISH,LOW,True,short,B,13174.25,5.5,False,False,4R cap (no draw in dir),22.0,stop,13180.0,08:01,-5.75,-1.045,-120.0
2023-04-17,Monday,08:03,premarket,E4war,BULLISH,LOW,True,short,B,13175.0,5.25,False,False,4R cap (no draw in dir),21.0,stop,13180.5,08:09,-5.5,-1.048,-115.0
2023-04-17,Monday,09:52,intime,E4war,BULLISH,MEDIUM,True,short,B2,13170.5,20.0,True,False,4R cap (no draw in dir),80.0,stop,13190.75,10:21,-20.25,-1.012,-410.0
2023-04-18,Tuesday,08:00,premarket,E4war,BULLISH,LOW,False,long,B2,13278.0,7.25,False,False,draw:LondonH,15.75,draw:LondonH,13293.75,08:33,15.75,2.172,310.0
2023-04-18,Tuesday,08:45,premarket,E4war,BULLISH,LOW,False,long,B2,13295.5,10.0,False,False,4R cap (no draw in dir),40.0,stop,13285.25,09:00,-10.25,-1.025,-210.0
2023-04-18,Tuesday,09:44,intime,E4war,BULLISH,LOW,False,long,B2,13278.25,20.0,True,False,draw:LondonH,15.5,draw:LondonH,13293.75,09:48,15.5,0.775,305.0
2023-04-18,Tuesday,09:51,intime,E4war,BULLISH,LOW,False,long,B2,13279.25,20.0,True,False,draw:LondonH,14.5,stop,13259.0,09:58,-20.25,-1.012,-410.0
2023-04-21,Friday,09:40,intime,E4war,BULLISH,MEDIUM,True,short,A,13050.0,20.0,True,False,4R cap (no draw in dir),80.0,stop,13070.25,09:42,-20.25,-1.012,-410.0
2023-04-21,Friday,09:43,intime,E4war,BULLISH,MEDIUM,False,long,B2,13066.5,20.0,True,False,draw:equal-highs,40.0,stop,13046.25,09:50,-20.25,-1.012,-410.0
2023-04-24,Monday,08:03,premarket,E3bal,BULLISH,MEDIUM,True,short,B,13072.75,7.25,False,False,4R cap (no draw in dir),29.0,stop,13080.25,08:04,-7.5,-1.034,-155.0
2023-04-24,Monday,08:14,premarket,E3bal,BULLISH,MEDIUM,True,short,B,13076.5,5.0,False,False,4R cap (no draw in dir),20.0,stop,13081.75,08:23,-5.25,-1.05,-110.0
2023-04-24,Monday,09:58,intime,E3bal,BULLISH,MEDIUM,True,short,A,13111.25,20.0,True,False,4R cap (no draw in dir),80.0,4R cap (no draw in dir),13031.25,10:39,80.0,4.0,1595.0
2023-04-25,Tuesday,08:07,premarket,E3bal,BEARISH,MEDIUM,False,short,B,13005.75,6.25,False,False,draw:PWL,23.25,stop,13012.25,08:18,-6.5,-1.04,-135.0
2023-04-25,Tuesday,08:33,premarket,E3bal,BEARISH,MEDIUM,False,short,B,13004.0,10.25,False,False,draw:PWL,21.5,draw:PWL,12982.5,09:30,21.5,2.098,425.0
2023-05-02,Tuesday,08:52,premarket,E3bal,BEARISH,MEDIUM,True,long,B,13301.0,5.5,False,False,4R cap (no draw in dir),22.0,stop,13295.25,09:08,-5.75,-1.045,-120.0
