day,time,bias,tier,score,direction,draws
2023-03-16,08:45,NEUTRAL,NEUTRAL,2,bullish,12376.50:LondonL|12399.75:AsiaL|12456.75:LondonH
2023-03-16,09:00,BEARISH,MEDIUM,4,bearish,12166.50:equal-lows|12057.50:equal-lows|12096.75:PDL
2023-03-16,09:30,BEARISH,MEDIUM,4,bearish,12166.50:equal-lows|12057.50:equal-lows|12096.75:PDL
2023-03-16,09:45,BEARISH,MEDIUM,4,bearish,12166.50:equal-lows|12057.50:equal-lows|12096.75:PDL
2023-03-17,08:00,BEARISH,MEDIUM,4,bearish,12314.00:PDL|12724.75:AsiaH|12702.00:AsiaL
2023-03-17,09:30,BEARISH,MEDIUM,5,bearish,12314.00:PDL|12698.75:LondonL|12486.25:PWH
2023-03-17,10:00,BULLISH,MEDIUM,4,bullish,12767.75:LondonH
2023-03-17,10:15,BULLISH,MEDIUM,4,bullish,12767.75:LondonH
2023-03-20,08:00,NEUTRAL,NEUTRAL,4,bearish,12525.25:LondonL|11806.25:PWL
2023-03-20,09:30,NEUTRAL,NEUTRAL,5,bearish,12525.25:LondonL|11806.25:PWL
2023-03-21,08:00,BULLISH,LOW,3,bullish,12811.25:PWH
2023-03-21,09:30,BULLISH,MEDIUM,4,bullish,12792.00:LondonH|12811.25:PWH
2023-03-21,09:45,BULLISH,MEDIUM,4,bullish,12811.25:PWH
2023-03-22,08:00,BULLISH,MEDIUM,5,bullish,12886.38:equal-highs|12876.75:LondonH|12898.25:PDH
2023-03-22,09:30,BULLISH,MEDIUM,5,bullish,12886.38:equal-highs|12898.25:PDH
2023-03-22,10:00,BULLISH,MEDIUM,4,bullish,12898.25:PDH
2023-03-23,08:00,BULLISH,MEDIUM,5,bullish,12886.38:equal-highs|12855.25:LondonH|13082.00:PDH
2023-03-23,08:15,BULLISH,MEDIUM,5,bullish,12886.38:equal-highs|12855.25:LondonH|13082.00:PDH
2023-03-23,09:30,BULLISH,MEDIUM,5,bullish,12886.38:equal-highs|13082.00:PDH
2023-03-23,09:45,BULLISH,MEDIUM,5,bullish,12886.38:equal-highs|13082.00:PDH
2023-03-24,08:00,NEUTRAL,NEUTRAL,3,bearish,12733.50:PDL|11806.25:PWL
2023-03-24,09:30,NEUTRAL,NEUTRAL,3,bearish,12811.25:PWH|12769.00:LondonL|12733.50:PDL
2023-03-24,09:45,NEUTRAL,NEUTRAL,3,bearish,12733.50:PDL|11806.25:PWL
2023-03-27,08:00,BULLISH,MEDIUM,5,bullish,12960.75:equal-highs|13082.00:PWH
2023-03-27,09:30,BULLISH,MEDIUM,6,bullish,12958.88:equal-highs|12964.50:LondonH|13082.00:PWH
2023-03-27,10:00,BULLISH,MEDIUM,6,bullish,12958.88:equal-highs|12964.50:LondonH|13082.00:PWH
2023-03-28,08:00,BULLISH,MEDIUM,5,bullish,12855.00:equal-highs|12870.00:equal-highs|12958.88:equal-highs
2023-03-28,08:45,BULLISH,MEDIUM,5,bullish,12777.00:equal-highs|12791.00:AsiaL|12855.00:equal-highs
2023-03-28,09:15,BULLISH,MEDIUM,5,bullish,12791.00:AsiaL|12855.00:equal-highs|12870.00:equal-highs
2023-03-28,09:30,BULLISH,MEDIUM,5,bullish,12791.00:AsiaL|12855.00:equal-highs|12870.00:equal-highs
2023-03-28,09:45,BULLISH,MEDIUM,5,bullish,12751.25:LondonL|12791.00:AsiaL|12855.00:equal-highs
2023-03-29,08:00,BULLISH,MEDIUM,5,bullish,12855.38:equal-highs|12870.00:equal-highs|12958.88:equal-highs
2023-03-29,09:00,BULLISH,MEDIUM,4,bullish,12958.88:equal-highs|13082.00:PWH
2023-03-29,09:30,BULLISH,MEDIUM,4,bullish,12958.88:equal-highs|13082.00:PWH
2023-03-30,08:00,NEUTRAL,NEUTRAL,2,bullish,13082.00:PWH
2023-03-30,09:30,NEUTRAL,NEUTRAL,3,bullish,13082.00:PWH
2023-03-30,09:45,NEUTRAL,NEUTRAL,2,bullish,13082.00:PWH
2023-03-30,10:15,NEUTRAL,NEUTRAL,2,bullish,13082.00:PWH
2023-03-31,08:00,NEUTRAL,NEUTRAL,3,bullish,13138.38:equal-highs|13093.50:AsiaL|13117.75:LondonH
2023-03-31,09:30,NEUTRAL,NEUTRAL,4,bullish,13138.38:equal-highs|13117.75:LondonH
2023-03-31,09:45,NEUTRAL,NEUTRAL,4,bullish,
2023-04-03,08:00,NEUTRAL,NEUTRAL,4,bearish,13200.00:PDL|13073.25:equal-lows|12933.25:equal-lows
2023-04-03,08:15,NEUTRAL,NEUTRAL,4,bearish,13073.25:equal-lows|12933.25:equal-lows|12634.25:PWL
2023-04-03,09:30,NEUTRAL,NEUTRAL,4,bearish,13200.00:PDL|13073.25:equal-lows|12933.25:equal-lows
2023-04-03,09:45,NEUTRAL,NEUTRAL,4,bearish,13202.00:LondonL|13073.25:equal-lows|12933.25:equal-lows
2023-04-04,08:00,BULLISH,MEDIUM,4,bullish,13348.75:LondonH
2023-04-04,09:30,BULLISH,MEDIUM,4,bullish,13311.50:PWH|13348.75:LondonH
2023-04-04,10:15,BULLISH,MEDIUM,4,bullish,13348.75:LondonH
2023-04-05,08:00,NEUTRAL,NEUTRAL,3,bearish,13182.00:equal-lows|13176.50:LondonL|13156.12:equal-lows
2023-04-05,09:30,NEUTRAL,NEUTRAL,3,bearish,13156.12:equal-lows|12634.25:PWL
2023-04-05,09:45,NEUTRAL,NEUTRAL,2,bearish,12634.25:PWL
2023-04-06,08:00,BULLISH,MEDIUM,5,bullish,13230.38:equal-highs|13236.00:PDH|13247.00:equal-highs
2023-04-06,09:15,NEUTRAL,NEUTRAL,3,bearish,12985.25:LondonL|12634.25:PWL
2023-04-06,09:30,NEUTRAL,NEUTRAL,3,bearish,12985.25:LondonL|12634.25:PWL
2023-04-06,09:45,NEUTRAL,NEUTRAL,3,bearish,12634.25:PWL
2023-04-07,08:00,NEUTRAL,NEUTRAL,2,bearish,13020.38:equal-lows|12953.25:PDL|12634.25:PWL
2023-04-07,09:15,BULLISH,MEDIUM,5,bullish,13233.62:equal-highs|13248.12:equal-highs|13311.50:PWH
2023-04-07,09:30,BULLISH,MEDIUM,5,bullish,13233.62:equal-highs|13248.12:equal-highs|13311.50:PWH
2023-04-10,08:00,BEARISH,MEDIUM,4,bearish,13020.38:equal-lows|13092.25:LondonL|12953.25:PWL
2023-04-10,09:30,BEARISH,MEDIUM,4,bearish,13020.38:equal-lows|12953.25:PWL
2023-04-10,09:45,BEARISH,LOW,3,bearish,12953.25:PWL
2023-04-11,08:00,BEARISH,MEDIUM,5,bearish,13125.50:LondonL|13020.38:equal-lows|12967.50:PDL
2023-04-11,09:30,BEARISH,MEDIUM,6,bearish,13148.50:AsiaL|13142.25:equal-lows|13125.50:LondonL
2023-04-11,09:45,BEARISH,MEDIUM,6,bearish,13020.38:equal-lows|12967.50:PDL|12953.25:PWL
2023-04-12,08:00,NEUTRAL,NEUTRAL,4,bullish,13164.00:equal-highs|13170.88:equal-highs|13188.75:equal-highs
