tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div,mult
2023-26,2025-07-03,2025-07-03 10:17:00,885990,1,23047.5,9.25,TARGET,0.918918918918919,-81.0,-0.10112359550561797,-55.0,-0.06117908787541713,0.8909899888765295,0.6715372676685468,,1.0
2023-26,2025-07-07,2025-07-07 09:57:00,888265,1,22958.75,11.75,STOP,-1.0638297872340425,-115.0,-0.3034300791556728,-6.0,-0.00911854103343465,0.5759878419452887,0.5983450031826861,,1.0
2023-26,2025-07-08,2025-07-08 09:50:00,889638,-1,22906.0,12.5,TARGET,0.94,-47.0,-0.061598951507208385,52.0,0.052845528455284556,0.7754065040650406,0.7130951518225958,,1.0
2023-26,2025-07-09,2025-07-09 10:05:00,891031,1,23094.5,11.75,STOP,-1.0638297872340425,-100.0,-0.1404494382022472,6.0,0.004149377593360996,0.49239280774550487,0.8907381722915704,,1.0
2023-26,2025-07-09,2025-07-09 10:08:00,891034,1,23091.75,15.0,STOP,-1.05,-101.0,-0.07431935246504782,65.0,0.034777956126270736,0.7271268057784912,1.1841521394611727,,1.0
2023-26,2025-07-09,2025-07-09 10:10:00,891036,1,23097.75,15.75,STOP,-1.0476190476190477,-61.0,-0.08390646492434663,202.0,0.1132286995515695,0.4075112107623318,1.1544683880152722,,1.0
2023-26,2025-07-11,2025-07-11 10:10:00,893796,1,22957.75,16.25,TARGET,0.9538461538461539,-103.0,-0.18038528896672504,11.0,0.007953723788864787,0.4128705712219812,1.1497225814525887,,1.0
2023-26,2025-07-14,2025-07-14 09:35:00,895141,1,22939.25,22.75,STOP,-1.032967032967033,-229.0,-0.12097200211304807,-142.0,-0.06407942238267147,0.8542418772563177,1.692519293955834,,1.0
2023-26,2025-07-15,2025-07-15 10:24:00,896570,1,23182.5,8.0,STOP,-1.09375,-79.0,-0.23303834808259588,9.0,0.011764705882352941,0.44313725490196076,0.5633802816901409,,1.0
2023-26,2025-07-16,2025-07-16 10:05:00,897931,-1,22970.5,12.5,TARGET,0.94,-153.0,-0.2537313432835821,-10.0,-0.007407407407407408,0.44666666666666666,0.8693412325326807,,1.0
2023-26,2025-07-22,2025-07-22 10:22:00,903468,1,23178.5,14.0,STOP,-1.0535714285714286,-151.0,-0.11917916337805841,-102.0,-0.07193229901269393,0.8935119887165022,0.7471218946758345,,1.0
2023-26,2025-07-23,2025-07-23 09:52:00,904818,-1,23202.25,8.0,TARGET,0.90625,-158.0,-0.2515923566878981,-55.0,-0.037037037037037035,0.4228956228956229,0.7407222665602554,,1.0
2023-26,2025-07-23,2025-07-23 10:09:00,904835,-1,23168.5,17.0,TARGET,0.9558823529411765,-186.0,-0.10108695652173913,-64.0,-0.030217186024551465,0.8687440982058546,1.3395737145025617,,1.0
