ts_event,open,high,low,close,volume
2026-07-28 14:19:00+00:00,27636.25,27641.0,27613.25,27615.25,1982.0
2026-07-28 14:20:00+00:00,27614.25,27641.5,27612.75,27618.5,1614.0
2026-07-28 14:21:00+00:00,27620.25,27677.5,27606.0,27675.75,2566.0
2026-07-28 14:22:00+00:00,27675.5,27687.75,27618.75,27630.25,2413.0
2026-07-28 14:23:00+00:00,27631.5,27699.25,27625.0,27697.75,3026.0
2026-07-28 14:24:00+00:00,27697.5,27717.5,27670.0,27677.25,2795.0
2026-07-28 14:25:00+00:00,27677.5,27691.5,27660.0,27682.75,1255.0
2026-07-28 14:26:00+00:00,27683.5,27700.5,27672.25,27691.75,1349.0
2026-07-28 14:27:00+00:00,27693.5,27712.75,27680.25,27691.0,1476.0
2026-07-28 14:28:00+00:00,27690.5,27708.5,27681.5,27682.75,1184.0
2026-07-28 14:29:00+00:00,27683.5,27713.5,27677.25,27706.5,1439.0
2026-07-28 14:30:00+00:00,27706.5,27724.0,27669.0,27684.5,1803.0
2026-07-28 14:31:00+00:00,27686.0,27720.25,27676.25,27707.5,1646.0
2026-07-28 14:32:00+00:00,27708.75,27728.5,27688.25,27708.0,1422.0
2026-07-28 14:33:00+00:00,27707.5,27715.25,27686.0,27707.25,1067.0
2026-07-28 14:34:00+00:00,27707.25,27718.25,27672.5,27679.75,1266.0
2026-07-28 14:35:00+00:00,27679.0,27732.5,27672.25,27730.75,1901.0
2026-07-28 14:36:00+00:00,27731.75,27761.75,27726.75,27744.5,2443.0
2026-07-28 14:37:00+00:00,27746.0,27761.75,27734.25,27756.0,1333.0
2026-07-28 14:38:00+00:00,27755.5,27763.0,27713.75,27715.0,1710.0
2026-07-28 14:39:00+00:00,27715.0,27729.0,27695.25,27723.5,1511.0
2026-07-28 14:40:00+00:00,27722.5,27756.75,27713.5,27754.0,1680.0
2026-07-28 14:41:00+00:00,27754.25,27777.75,27749.5,27770.5,2147.0
2026-07-28 14:42:00+00:00,27771.0,27773.75,27753.75,27771.0,1114.0
2026-07-28 14:43:00+00:00,27772.0,27792.5,27762.0,27782.0,1930.0
