tape,tf,sess,trend,W,U,buf,tgt,dolk,n,R,netR,win,be,excess,medRR,medRisk,t,H1,H2,drop3,flat
2020-22,1,NY,NONE,1.0,0.5,2,R2,10,2185,-0.13169150729766554,-287.74594344539923,0.3327231121281464,0.3333333333333333,-0.0006102212051868894,2.0,11.5,-4.349520961674318,-0.15643338015942754,-0.10724230445155687,-0.13459109504798783,0.0018306636155606408
2020-22,1,NY,NONE,1.0,0.5,2,R3,10,2185,-0.15580005859201296,-340.4231280235483,0.24210526315789474,0.25,-0.00789473684210526,3.0,11.5,-4.244313308320671,-0.20014026444111865,-0.11198435017333348,-0.16010725843600349,0.005034324942791762
2020-22,1,NY,NONE,1.0,0.5,2,DOL,10,2185,-0.18459361819237466,-403.3370557503386,0.3176201372997712,0.34502923976608185,-0.027409102466310675,1.8983050847457628,11.5,-5.0080391921868,-0.1903492501734969,-0.17890606921011917,-0.2094797324083777,0.0018306636155606408
2020-22,1,NY,NONE,2.0,0.5,2,R1,10,1133,-0.1686275689653905,-191.05503563778743,0.48455428067078554,0.5,-0.015445719329214458,1.0,11.0,-5.630667305664199,-0.19497749713134407,-0.14241681295524303,-0.17166271317841636,0.0
2020-22,1,NY,NONE,2.0,0.5,2,R2,10,1133,-0.14744486817103922,-167.05503563778743,0.3300970873786408,0.3333333333333333,-0.003236245954692518,2.0,11.0,-3.5081889197279716,-0.13834032898975115,-0.15650131999749653,-0.15307864238195604,0.0
2020-22,1,NY,NONE,2.0,0.5,2,R3,10,1133,-0.17401732890959268,-197.1616336545685,0.24007060900264784,0.25,-0.009929390997352155,3.0,11.0,-3.4220718151628158,-0.16373471144454146,-0.18424563677535669,-0.1823765167330898,0.00264783759929391
2020-22,1,NY,NONE,2.0,0.5,2,DOL,10,1133,-0.15830801251047283,-179.3629781743657,0.30714916151809357,0.3333333333333333,-0.026184171815239743,2.0,11.0,-2.7505476808831673,-0.09390969166907477,-0.2223662013755959,-0.20629265357443125,0.00264783759929391
2020-22,3,NY,SLOPE,1.0,0.5,2,R1,10,429,-0.11219237087659359,-48.13052710605865,0.48484848484848486,0.5,-0.015151515151515138,1.0,21.0,-2.31071234567013,-0.14970597173060027,-0.07519979225667034,-0.11991573049765056,0.0
2020-22,3,NY,SLOPE,1.0,0.5,2,R2,10,429,-0.09114793857591724,-39.1024656490685,0.3146853146853147,0.3333333333333333,-0.018648018648018627,2.0,21.0,-1.352714124081321,-0.16242818400981962,-0.020857696550819052,-0.10573707103218956,0.02564102564102564
2020-22,3,NY,SLOPE,1.0,0.5,2,R3,10,429,-0.07206871213098652,-30.91747750419322,0.22144522144522144,0.25,-0.02855477855477856,3.0,21.0,-0.8893822549300812,-0.09213188668408659,-0.05228419278001288,-0.09356573735877338,0.05827505827505827
2020-22,3,NY,SLOPE,1.0,0.5,2,DOL,10,429,-0.14270604539271822,-61.22089347347612,0.38927738927738925,0.45348837209302323,-0.06421098281563398,1.205128205128205,21.0,-2.2849742125586916,-0.1902968443402655,-0.0957762297638869,-0.18354747172357289,0.002331002331002331
2020-22,3,NY,SLOPE,2.0,0.5,2,R1,10,237,-0.07301504662524645,-17.30456605018341,0.5063291139240507,0.5,0.006329113924050667,1.0,19.25,-1.1149870973904126,-0.10332192914730765,-0.04296284378824457,-0.08655600344749267,0.0
2020-22,3,NY,SLOPE,2.0,0.5,2,R2,10,237,-0.038646685607282814,-9.159264488926027,0.3333333333333333,0.3333333333333333,0.0,2.0,19.25,-0.41925926722280127,-0.15161540488447972,0.07337271670119812,-0.06451770567843619,0.02531645569620253
2020-22,3,NY,SLOPE,2.0,0.5,2,R3,10,237,-0.0006411098806452215,-0.1519430417129175,0.24472573839662448,0.25,-0.0052742616033755185,3.0,19.25,-0.005689358357118443,-0.06887187722569778,0.06701628967159179,-0.03884539180145707,0.05063291139240506
2020-22,3,NY,SLOPE,2.0,0.5,2,DOL,10,237,-0.0602614161670637,-14.281955631594098,0.41350210970464135,0.445859872611465,-0.03235776290682363,1.2428571428571429,19.25,-0.6761700142384363,-0.1639509088522314,0.042556736243438746,-0.13146554000033164,0.004219409282700422
2020-22,3,NY,SIDE,1.0,0.5,2,R1,10,253,-0.07558195109759923,-19.122233627692605,0.5059288537549407,0.5,0.005928853754940677,1.0,20.5,-1.1890092819308653,-0.11715118327697711,-0.034340035707035345,-0.08830323085453244,0.0
2020-22,3,NY,SIDE,1.0,0.5,2,R2,10,253,-0.04433402885086058,-11.216509299267727,0.3359683794466403,0.3333333333333333,0.0026350461133070047,2.0,20.5,-0.496000853283969,-0.10024917779049672,0.011140843325471371,-0.06860648483243574,0.019762845849802372
