tape,day,ts,i,dir,entry,risk,res,r,wick_delta,wick_ratio,bar_delta,bar_ratio,wick_vol_share,vol_z,cvd_div
2023-26,2025-10-16,2025-10-16 09:57:00,329624,-1,25062.25,25.0,STOP,-1.03,-261.0,-0.10410849621061029,-36.0,-0.007349938750510413,0.5118415679869335,1.2143167297314061,
2023-26,2025-10-24,2025-10-24 10:21:00,332392,1,25514.5,13.0,STOP,-1.0576923076923077,-185.0,-0.10016242555495398,-144.0,-0.04250295159386069,0.545159386068477,0.6745063676826415,
2023-26,2025-10-27,2025-10-27 10:18:00,332851,1,25842.5,20.0,TARGET,2.9625,-432.0,-0.15439599714081487,-276.0,-0.05791019723038187,0.5870751154007553,1.0998000993725663,
2023-26,2025-10-29,2025-10-29 09:42:00,333759,1,26276.0,13.25,TARGET,2.943396226415094,-189.0,-0.14157303370786517,63.0,0.02171664943123061,0.46018614270941055,1.2841638981173864,
2023-26,2025-10-29,2025-10-29 10:12:00,333769,1,26285.75,21.0,STOP,-1.0357142857142858,-324.0,-0.27364864864864863,-76.0,-0.017070979335130278,0.265947888589398,1.0299207130042247,
2023-26,2025-10-29,2025-10-29 10:18:00,333771,1,26291.5,16.0,STOP,-1.046875,-313.0,-0.21394395078605605,13.0,0.004447485460143688,0.5005131713992473,0.6455887712168564,
2023-26,2025-11-07,2025-11-07 10:18:00,336991,-1,25004.25,24.25,STOP,-1.0309278350515463,-338.0,-0.3550420168067227,127.0,0.01777964440711186,0.13327733445331094,0.9797958301009866,
2023-26,2025-11-13,2025-11-13 09:30:00,338815,-1,25452.5,50.0,TARGET,2.985,-170.0,-0.05758807588075881,113.0,0.009673829295437034,0.25271808920469135,5.553277711561383,
2023-26,2025-11-21,2025-11-21 09:57:00,341584,-1,24174.0,39.5,STOP,-1.018987341772152,50.0,0.014518002322880372,191.0,0.04501531934951685,0.8116898420928588,0.7632227761081217,
2023-26,2025-11-21,2025-11-21 10:06:00,341587,-1,24148.5,76.25,STOP,-1.0098360655737706,-94.0,-0.02186046511627907,13.0,0.0015408320493066256,0.50965983169373,1.2404435516508099,
2023-26,2025-11-21,2025-11-21 10:24:00,341593,-1,24121.0,86.0,STOP,-1.0087209302325582,-192.0,-0.03325251125736058,-218.0,-0.024954212454212456,0.6609432234432234,0.9991123328465481,
2023-26,2025-11-25,2025-11-25 09:30:00,342495,-1,24844.5,35.5,TARGET,2.9788732394366195,-201.0,-0.15261958997722094,-514.0,-0.04065812371460212,0.1041765543426673,6.688060255662229,
2023-26,2025-11-25,2025-11-25 10:21:00,342512,-1,24722.75,51.0,STOP,-1.0147058823529411,-112.0,-0.08139534883720931,144.0,0.022988505747126436,0.21966794380587484,0.7248049650532177,
2023-26,2025-11-26,2025-11-26 10:27:00,342974,-1,25191.0,19.5,STOP,-1.0384615384615385,-167.0,-0.0862157976251936,109.0,0.023929747530186608,0.4252469813391877,0.7452480201790233,
2023-26,2025-12-01,2025-12-01 09:30:00,343965,1,25264.25,30.75,STOP,-1.024390243902439,-108.0,-0.03517915309446254,255.0,0.02297918356312517,0.2766513472109579,8.319201620769865,
2023-26,2025-12-10,2025-12-10 10:12:00,347199,-1,25624.75,20.5,STOP,-1.0365853658536586,-147.0,-0.10158949550794748,64.0,0.02264685067232838,0.5120311394196745,0.6387015177065767,
2023-26,2025-12-10,2025-12-10 10:18:00,347201,-1,25632.25,21.75,STOP,-1.0344827586206897,-151.0,-0.09773462783171522,50.0,0.017064846416382253,0.5273037542662116,0.6434954420943912,
2023-26,2025-12-29,2025-12-29 10:00:00,352640,1,25724.0,18.0,STOP,-1.0416666666666667,-343.0,-0.2620320855614973,-173.0,-0.04544260572629367,0.34384029419490414,1.1064287375029063,
2023-26,2026-01-02,2026-01-02 09:30:00,354010,-1,25670.5,63.5,STOP,-1.0118110236220472,-495.0,-0.04952476238119059,4.0,0.00029036004645760743,0.7255371660859465,10.259159964253799,
2023-26,2026-01-02,2026-01-02 09:33:00,354011,-1,25655.5,34.25,STOP,-1.0218978102189782,-315.0,-0.1265568501406187,77.0,0.01150799581527425,0.3719922283664624,4.031087146428894,
2023-26,2026-01-08,2026-01-08 10:15:00,355865,-1,25674.75,20.25,STOP,-1.037037037037037,-231.0,-0.06598114824335904,36.0,0.006398862424457874,0.6222893707785283,0.8034388209756655,
