stream,stack,n,sess,base_exp,subset_exp,improvement,null_pct
sw-cvd-div-reclaim,absorption_pre_5>p50 AND news_day>p25,40,35,-0.08693564639590223,0.36314648314670683,0.45008212954260907,0.08
orb-fvg-nyopen,volume_pace_at_entry>p75 AND vpoc_distance_at_entry>p75,144,82,-0.014681369498767156,0.2761984254928768,0.29087979499164396,0.0775
sw-open-drive-pcr,cvd_slope_pre_15>p50 AND atr_pct<=p75,35,35,-0.03096644308945471,0.39325344383464306,0.4242198869240978,0.07
zxck-10am-keyopen,htf_aligned<=p50 AND dist_to_level_R<=p25,27,27,-0.09703196347031955,0.3240740740740741,0.4211060375443937,0.07
zxck-10am-keyopen,htf_aligned<=p25 AND dist_to_level_R<=p25,27,27,-0.09703196347031955,0.3240740740740741,0.4211060375443937,0.07
orb-fvg-nyopen,entry_min_into_window>p75 AND dist_to_level_R<=p75,257,157,-0.014681369498767156,0.2709130148890031,0.28559438438777024,0.0625
sw-cvd-div-reclaim,cvd_slope_pre_15<=p25 AND absorption_pre_5>p75,29,28,-0.08693564639590223,0.3509130285720946,0.43784867496799684,0.0575
sw-open-drive-pcr,cvd_price_divergence_pre>p25 AND absorption_pre_5>p25,43,43,-0.03096644308945471,0.385466913459402,0.4164333565488567,0.055
zxck-cisd,cvd_price_divergence_pre<=p75,30,30,0.04405408016302246,0.21342576744853065,0.1693716872855082,0.055
sw-open-drive-pcr,absorption_pre_5>p50 AND vpoc_distance_at_entry<=p50,29,29,-0.03096644308945471,0.38516416364150047,0.4161306067309552,0.055
zxck-cisd,cvd_price_divergence_pre<=p75 AND news_day<=p75,30,30,0.04405408016302246,0.21342576744853065,0.1693716872855082,0.055
sw-open-drive-pcr,volume_pace_at_entry>p50 AND dist_to_level_R>p25,38,38,-0.03096644308945471,0.38575622048936126,0.416722663578816,0.055
sw-precash-value-migration,volume_pace_at_entry>p75 AND entry_min_into_window<=p75,28,28,0.03717435793368325,0.4864972506757379,0.44932289274205467,0.055
zxck-cisd,cvd_price_divergence_pre<=p75 AND direction_long<=p50,30,30,0.04405408016302246,0.21342576744853065,0.1693716872855082,0.055
