day,ft,seg,oos,pl,pl_t45
2026-05-11,2026-05-11 12:04:00+00:00,early 08:00-08:29,True,392.5,508.8
2026-05-11,2026-05-11 12:34:00+00:00,mid 08:30-08:59,True,-207.0,-211.44
2026-05-18,2026-05-18 12:06:00+00:00,early 08:00-08:29,True,126.0,333.76000000000005
2026-05-19,2026-05-19 12:37:00+00:00,mid 08:30-08:59,True,-92.5,-185.48
2026-05-19,2026-05-19 13:07:00+00:00,late 09:00-09:29,True,524.0,-336.96
2026-05-20,2026-05-20 13:22:00+00:00,late 09:00-09:29,True,-94.5,-96.71999999999998
2026-05-21,2026-05-21 13:06:00+00:00,late 09:00-09:29,True,-134.0,-135.48
2026-05-22,2026-05-22 12:01:00+00:00,early 08:00-08:29,True,-111.0,-115.44
2026-05-22,2026-05-22 13:17:00+00:00,late 09:00-09:29,True,-305.5,-315.12
2026-05-26,2026-05-26 12:26:00+00:00,early 08:00-08:29,True,174.0,135.04
2026-05-29,2026-05-29 12:55:00+00:00,mid 08:30-08:59,True,329.0,2628.64
2026-05-29,2026-05-29 13:13:00+00:00,late 09:00-09:29,True,-208.0,-217.61999999999998
2026-06-01,2026-06-01 12:27:00+00:00,early 08:00-08:29,True,-107.5,-111.19999999999999
2026-06-02,2026-06-02 12:23:00+00:00,early 08:00-08:29,True,-215.0,-218.70000000000002
2026-06-08,2026-06-08 12:11:00+00:00,early 08:00-08:29,True,402.0,597.04
2026-06-08,2026-06-08 12:11:00+00:00,early 08:00-08:29,True,-218.0,595.04
2026-06-09,2026-06-09 12:28:00+00:00,early 08:00-08:29,True,174.75,281.28
2026-06-12,2026-06-12 12:11:00+00:00,early 08:00-08:29,True,-205.0,-212.39999999999998
2026-06-15,2026-06-15 12:18:00+00:00,early 08:00-08:29,True,122.0,37.04
2026-06-15,2026-06-15 13:13:00+00:00,late 09:00-09:29,True,362.25,1618.56
2026-06-15,2026-06-15 13:13:00+00:00,late 09:00-09:29,True,865.0,1321.3
2026-06-16,2026-06-16 12:40:00+00:00,mid 08:30-08:59,True,981.5,386.88
2026-06-16,2026-06-16 12:40:00+00:00,mid 08:30-08:59,True,797.5,294.36
2026-06-18,2026-06-18 13:07:00+00:00,late 09:00-09:29,True,618.0,-205.44
2026-06-19,2026-06-19 12:01:00+00:00,early 08:00-08:29,True,-112.0,-113.48
2026-06-24,2026-06-24 12:03:00+00:00,early 08:00-08:29,True,56.875,-225.67999999999995
2026-06-24,2026-06-24 12:03:00+00:00,early 08:00-08:29,True,-190.0,-192.96
2026-06-25,2026-06-25 13:07:00+00:00,late 09:00-09:29,True,396.0,3882.7799999999997
2026-06-26,2026-06-26 13:16:00+00:00,late 09:00-09:29,True,618.0,-326.88
2026-06-26,2026-06-26 13:20:00+00:00,late 09:00-09:29,True,-222.0,-224.96
2026-06-29,2026-06-29 12:55:00+00:00,mid 08:30-08:59,True,452.25,-321.66
2026-06-29,2026-06-29 12:55:00+00:00,mid 08:30-08:59,True,-324.0,-330.66
2026-06-30,2026-06-30 12:01:00+00:00,early 08:00-08:29,True,324.0,464.28
2026-06-30,2026-06-30 12:26:00+00:00,early 08:00-08:29,True,218.0,59.04
2026-07-06,2026-07-06 12:23:00+00:00,early 08:00-08:29,True,-297.5,-302.68
2026-07-10,2026-07-10 13:16:00+00:00,late 09:00-09:29,True,460.5,794.28
2026-07-10,2026-07-10 13:16:00+00:00,late 09:00-09:29,True,730.0,1298.8
