trading_date,entry_price,n_bars,prev_poc,midnight_open,day_open,prev_val,prev_vah,R_long,MFE_long,MAE_long,pts_long,stopped_long,R_short,MFE_short,MAE_short,pts_short,stopped_short
2024-05-27,18879.0,210,18894.25,18850.75,18874.75,18777.25,18919.25,2.3916666666666666,77.0,3.0,71.75,False,-1.0,1.0,30.0,-71.75,True
2024-05-28,18920.25,391,18878.0,18927.25,18950.5,18862.0,18928.5,-1.0,16.25,30.0,39.0,True,-1.0,100.75,30.0,-39.0,True
2024-05-29,18765.25,391,18918.0,18886.75,18949.5,18878.5,18936.5,1.2333333333333334,114.5,4.25,37.0,False,-1.0,4.25,30.0,-37.0,True
2024-05-30,18764.75,391,18848.75,18686.25,18753.0,18810.75,18868.25,-1.0,4.75,30.0,-165.75,True,5.525,218.5,4.75,165.75,False
2024-05-31,18602.0,391,18698.0,18562.0,18590.75,18651.0,18750.5,-1.0,29.5,30.0,-5.5,True,0.18333333333333332,360.75,29.5,5.5,False
2024-06-03,18712.75,391,18339.0,18641.75,18590.25,18253.5,18537.5,-1.0,42.75,30.0,-62.5,True,-1.0,14.25,30.0,62.5,True
2024-06-04,18637.75,391,18668.5,18654.0,18662.5,18556.5,18702.0,-1.0,13.0,30.0,55.25,True,-1.0,70.0,30.0,-55.25,True
2024-06-05,18848.75,391,18595.25,18757.75,18711.0,18576.25,18659.75,-1.0,4.0,30.0,218.75,True,-1.0,48.75,30.0,-218.75,True
2024-06-06,19102.75,391,19026.0,19099.5,19089.5,18850.5,19084.5,-1.0,13.0,30.0,-45.25,True,1.5083333333333333,85.5,13.0,45.25,False
2024-06-07,19040.5,391,19074.25,19082.5,19064.0,19042.75,19087.25,-1.0,0.25,30.0,-1.0,True,-1.0,48.0,30.0,1.0,True
2024-06-10,18988.75,391,19036.25,19043.25,19025.0,19016.75,19095.75,3.725,141.0,11.0,111.75,False,-1.0,11.0,30.0,-111.75,True
2024-06-11,19058.0,391,19084.75,19091.0,19107.25,19030.25,19117.75,-1.0,29.5,30.0,171.75,True,-1.0,63.5,30.0,-171.75,True
2024-06-12,19402.25,391,19086.75,19266.75,19248.0,19019.75,19141.75,2.8666666666666667,186.5,27.5,86.0,False,-1.0,27.5,30.0,-86.0,True
2024-06-13,19636.75,391,19503.5,19636.5,19602.0,19450.0,19542.0,-1.0,26.75,30.0,-36.0,True,1.2,136.75,26.75,36.0,False
2024-06-14,19578.0,391,19593.5,19640.0,19602.75,19552.0,19631.0,3.4833333333333334,114.5,20.75,104.5,False,-1.0,20.75,30.0,-104.5,True
2024-06-17,19958.0,391,19631.5,19961.0,19695.0,19592.5,19669.5,-1.0,16.0,30.0,230.5,True,-1.0,54.0,30.0,-230.5,True
2024-06-18,20191.75,391,19959.25,20183.75,20193.0,19725.5,20191.75,-1.0,27.25,30.0,11.25,True,-1.0,64.75,30.0,-11.25,True
