Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1489,Exit short,2025-05-07 23:35,xS,19888.25,1,397985,210,0.05,10,215,0.05,-50,-0.01,-7875,-0.79,0
1489,Entry short,2025-05-07 23:35,S @ 19899,19899.25,1,397985,210,0.05,10,215,0.05,-50,-0.01,-7875,-0.79,0
1490,Exit long,2025-05-07 23:49,xL,19885.25,1,397975,-280,-0.07,10,95,0.02,-275,-0.07,-8155,-0.82,1
1490,Entry long,2025-05-07 23:48,L @ 19899,19898.75,1,397975,-280,-0.07,10,95,0.02,-275,-0.07,-8155,-0.82,1
1491,Exit long,2025-05-08 00:52,xL,19883.25,1,397975,-320,-0.08,10,60,0.02,-315,-0.08,-8475,-0.85,1
1491,Entry long,2025-05-08 00:51,L @ 19899,19898.75,1,397975,-320,-0.08,10,60,0.02,-315,-0.08,-8475,-0.85,1
1492,Exit short,2025-05-08 03:03,xS,19904.75,1,397985,-120,-0.03,10,0,0.00,-115,-0.03,-8595,-0.86,0
1492,Entry short,2025-05-08 03:03,S @ 19899,19899.25,1,397985,-120,-0.03,10,0,0.00,-115,-0.03,-8595,-0.86,0
1493,Exit long,2025-05-08 03:10,xL,19905.5,1,397975,125,0.03,10,130,0.03,-5,0.00,-8470,-0.85,1
1493,Entry long,2025-05-08 03:09,L @ 19899,19898.75,1,397975,125,0.03,10,130,0.03,-5,0.00,-8470,-0.85,1
1494,Exit short,2025-05-08 03:24,xS,19907.75,1,397985,-180,-0.05,10,0,0.00,-175,-0.04,-8650,-0.86,1
1494,Entry short,2025-05-08 03:23,S @ 19899,19899.25,1,397985,-180,-0.05,10,0,0.00,-175,-0.04,-8650,-0.86,1
1495,Exit short,2025-05-08 05:52,xS,19914.5,1,397985,-315,-0.08,10,160,0.04,-310,-0.08,-8965,-0.90,1
1495,Entry short,2025-05-08 05:51,S @ 19899,19899.25,1,397985,-315,-0.08,10,160,0.04,-310,-0.08,-8965,-0.90,1
1496,Exit short,2025-05-14 10:02,xS,21295,1,425805,-105,-0.02,10,0,0.00,-100,-0.02,-9070,-0.91,0
1496,Entry short,2025-05-14 10:02,S @ 21290,21290.25,1,425805,-105,-0.02,10,0,0.00,-100,-0.02,-9070,-0.91,0
1497,Exit long,2025-05-14 10:05,SAR,21287.25,1,425795,-60,-0.01,10,0,0.00,-100,-0.02,-9130,-0.91,1
1497,Entry long,2025-05-14 10:04,L @ 21290,21289.75,1,425795,-60,-0.01,10,0,0.00,-100,-0.02,-9130,-0.91,1
1498,Exit short,2025-05-14 10:12,xS,21282.75,1,425805,140,0.03,10,145,0.03,-65,-0.02,-8990,-0.90,3
1498,Entry short,2025-05-14 10:09,S @ 21290,21290.25,1,425805,140,0.03,10,145,0.03,-65,-0.02,-8990,-0.90,3
1499,Exit short,2025-05-14 12:27,xS,21285,1,425805,95,0.02,10,100,0.02,-30,-0.01,-8895,-0.89,3
1499,Entry short,2025-05-14 12:24,S @ 21290,21290.25,1,425805,95,0.02,10,100,0.02,-30,-0.01,-8895,-0.89,3
1500,Exit long,2025-05-14 17:40,xL,21299.25,1,425795,180,0.04,10,185,0.04,-50,-0.01,-8715,-0.87,6
1500,Entry long,2025-05-14 17:34,L @ 21290,21289.75,1,425795,180,0.04,10,185,0.04,-50,-0.01,-8715,-0.87,6
1501,Exit short,2025-05-14 18:51,SAR,21292.75,1,425805,-60,-0.01,10,0,0.00,-80,-0.02,-8775,-0.88,1
1501,Entry short,2025-05-14 18:50,S @ 21290,21290.25,1,425805,-60,-0.01,10,0,0.00,-80,-0.02,-8775,-0.88,1
1502,Exit long,2025-05-14 18:56,SAR,21284.75,1,425795,-110,-0.03,10,150,0.04,-110,-0.03,-8885,-0.89,4
1502,Entry long,2025-05-14 18:52,L @ 21290,21289.75,1,425795,-110,-0.03,10,150,0.04,-110,-0.03,-8885,-0.89,4
1503,Exit short,2025-05-14 20:37,xS,21297.75,1,425805,-160,-0.04,10,95,0.02,-155,-0.04,-9045,-0.90,6
1503,Entry short,2025-05-14 20:31,S @ 21290,21290.25,1,425805,-160,-0.04,10,95,0.02,-155,-0.04,-9045,-0.90,6
1504,Exit long,2025-05-14 23:48,xL,21285,1,425795,-105,-0.02,10,0,0.00,-100,-0.02,-9150,-0.91,0
1504,Entry long,2025-05-14 23:48,L @ 21290,21289.75,1,425795,-105,-0.02,10,0,0.00,-100,-0.02,-9150,-0.91,0
1505,Exit long,2025-05-14 23:54,xL,21298.75,1,425795,170,0.04,10,175,0.04,-145,-0.03,-8980,-0.90,0
1505,Entry long,2025-05-14 23:54,L @ 21290,21289.75,1,425795,170,0.04,10,175,0.04,-145,-0.03,-8980,-0.90,0
1506,Exit long,2025-05-15 01:05,xL,21296.5,1,425795,125,0.03,10,130,0.03,-30,-0.01,-8855,-0.89,0
1506,Entry long,2025-05-15 01:05,L @ 21290,21289.75,1,425795,125,0.03,10,130,0.03,-30,-0.01,-8855,-0.89,0
1507,Exit short,2025-05-15 16:13,xS,21350.75,1,426905,-120,-0.03,10,0,0.00,-115,-0.03,-8975,-0.90,1
1507,Entry short,2025-05-15 16:12,S @ 21345,21345.25,1,426905,-120,-0.03,10,0,0.00,-115,-0.03,-8975,-0.90,1
1508,Exit short,2025-05-15 16:45,xS,21350,1,426905,-105,-0.02,10,0,0.00,-100,-0.02,-9080,-0.91,1
1508,Entry short,2025-05-15 16:44,S @ 21345,21345.25,1,426905,-105,-0.02,10,0,0.00,-100,-0.02,-9080,-0.91,1
1509,Exit long,2025-05-15 17:08,xL,21338.25,1,426895,-140,-0.03,10,0,0.00,-135,-0.03,-9220,-0.92,0
1509,Entry long,2025-05-15 17:08,L @ 21345,21344.75,1,426895,-140,-0.03,10,0,0.00,-135,-0.03,-9220,-0.92,0
1510,Exit short,2025-05-16 00:02,xS,21337.5,1,426905,145,0.03,10,150,0.04,-30,-0.01,-9075,-0.91,1
1510,Entry short,2025-05-16 00:01,S @ 21345,21345.25,1,426905,145,0.03,10,150,0.04,-30,-0.01,-9075,-0.91,1
1511,Exit long,2025-05-16 05:25,xL,21338,1,426895,-145,-0.03,10,0,0.00,-140,-0.03,-9220,-0.92,0
1511,Entry long,2025-05-16 05:25,L @ 21345,21344.75,1,426895,-145,-0.03,10,0,0.00,-140,-0.03,-9220,-0.92,0
1512,Exit short,2025-05-16 05:31,xS,21357,1,426905,-245,-0.06,10,135,0.03,-240,-0.06,-9465,-0.95,1
1512,Entry short,2025-05-16 05:30,S @ 21345,21345.25,1,426905,-245,-0.06,10,135,0.03,-240,-0.06,-9465,-0.95,1
1513,Exit short,2025-05-21 10:26,xS,21437,1,428645,-105,-0.02,10,25,0.01,-100,-0.02,-9570,-0.96,2
1513,Entry short,2025-05-21 10:24,S @ 21432,21432.25,1,428645,-105,-0.02,10,25,0.01,-100,-0.02,-9570,-0.96,2
1514,Exit long,2025-05-21 10:33,xL,21437,1,428635,95,0.02,10,100,0.02,-30,-0.01,-9475,-0.95,1
1514,Entry long,2025-05-21 10:32,L @ 21432,21431.75,1,428635,95,0.02,10,100,0.02,-30,-0.01,-9475,-0.95,1
