Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
8261,Entry short,2025-08-27 01:35,S @ 23505.25,23505.5,1,470110,-85,-0.02,10,125,0.03,-110,-0.02,-107090,-10.71,3
8262,Exit long,2025-08-27 01:51,xL,23498.75,1,470100,-135,-0.03,10,70,0.01,-130,-0.03,-107225,-10.72,3
8262,Entry long,2025-08-27 01:48,L @ 23505.25,23505,1,470100,-135,-0.03,10,70,0.01,-130,-0.03,-107225,-10.72,3
8263,Exit long,2025-08-27 02:12,xL,23536.5,1,470625,95,0.02,10,100,0.02,-40,-0.01,-107130,-10.71,1
8263,Entry long,2025-08-27 02:11,L @ 23531.5,23531.25,1,470625,95,0.02,10,100,0.02,-40,-0.01,-107130,-10.71,1
8264,Exit long,2025-08-27 02:48,SAR,23532,1,470630,0,0.00,10,5,0.00,-30,-0.01,-107130,-10.71,1
8264,Entry long,2025-08-27 02:47,L @ 23531.75,23531.5,1,470630,0,0.00,10,5,0.00,-30,-0.01,-107130,-10.71,1
8265,Exit short,2025-08-27 02:53,xS,23530.75,1,470730,105,0.02,10,110,0.02,-40,-0.01,-107025,-10.70,1
8265,Entry short,2025-08-27 02:52,S @ 23536.25,23536.5,1,470730,105,0.02,10,110,0.02,-40,-0.01,-107025,-10.70,1
8266,Exit long,2025-08-27 03:07,xL,23532.25,1,470740,-105,-0.02,10,15,0.00,-100,-0.02,-107130,-10.71,1
8266,Entry long,2025-08-27 03:06,L @ 23537.25,23537,1,470740,-105,-0.02,10,15,0.00,-100,-0.02,-107130,-10.71,1
8267,Exit long,2025-08-27 05:25,xL,23558.25,1,471345,-190,-0.04,10,30,0.01,-185,-0.04,-107320,-10.73,2
8267,Entry long,2025-08-27 05:23,L @ 23567.5,23567.25,1,471345,-190,-0.04,10,30,0.01,-185,-0.04,-107320,-10.73,2
8268,Exit long,2025-08-27 05:35,xL,23564,1,471400,-130,-0.03,10,5,0.00,-125,-0.03,-107450,-10.74,1
8268,Entry long,2025-08-27 05:34,L @ 23570.25,23570,1,471400,-130,-0.03,10,5,0.00,-125,-0.03,-107450,-10.74,1
8269,Exit short,2025-08-27 23:48,xS,23525,1,470240,-270,-0.06,10,0,0.00,-265,-0.06,-107720,-10.77,1
8269,Entry short,2025-08-27 23:47,S @ 23511.75,23512,1,470240,-270,-0.06,10,0,0.00,-265,-0.06,-107720,-10.77,1
8270,Exit short,2025-08-27 23:54,SAR,23521.75,1,470385,-60,-0.01,10,0,0.00,-100,-0.02,-107780,-10.78,1
8270,Entry short,2025-08-27 23:53,S @ 23519,23519.25,1,470385,-60,-0.01,10,0,0.00,-100,-0.02,-107780,-10.78,1
8271,Exit long,2025-08-27 23:55,xL,23520.25,1,470615,-220,-0.05,10,0,0.00,-215,-0.05,-108000,-10.80,0
8271,Entry long,2025-08-27 23:55,L @ 23531,23530.75,1,470615,-220,-0.05,10,0,0.00,-215,-0.05,-108000,-10.80,0
8272,Exit short,2025-08-27 23:58,SAR,23535,1,470620,-90,-0.02,10,65,0.01,-125,-0.03,-108090,-10.81,2
8272,Entry short,2025-08-27 23:56,S @ 23530.75,23531,1,470620,-90,-0.02,10,65,0.01,-125,-0.03,-108090,-10.81,2
8273,Exit short,2025-08-28 00:00,SAR,23534.75,1,470620,-85,-0.02,10,0,0.00,-110,-0.02,-108175,-10.82,1
8273,Entry short,2025-08-27 23:59,S @ 23530.75,23531,1,470620,-85,-0.02,10,0,0.00,-110,-0.02,-108175,-10.82,1
8274,Exit long,2025-08-28 00:01,xL,23538.75,1,470610,155,0.03,10,160,0.03,-40,-0.01,-108020,-10.80,0
8274,Entry long,2025-08-28 00:01,L @ 23530.75,23530.5,1,470610,155,0.03,10,160,0.03,-40,-0.01,-108020,-10.80,0
8275,Exit long,2025-08-28 00:05,xL,23536.25,1,470620,95,0.02,10,100,0.02,-30,-0.01,-107925,-10.79,0
8275,Entry long,2025-08-28 00:05,L @ 23531.25,23531,1,470620,95,0.02,10,100,0.02,-30,-0.01,-107925,-10.79,0
8276,Exit short,2025-08-28 00:34,xS,23601.25,1,472130,95,0.02,10,100,0.02,-35,-0.01,-107830,-10.78,1
8276,Entry short,2025-08-28 00:33,S @ 23606.25,23606.5,1,472130,95,0.02,10,100,0.02,-35,-0.01,-107830,-10.78,1
8277,Exit long,2025-08-28 01:09,xL,23597.5,1,471845,95,0.02,10,100,0.02,-50,-0.01,-107735,-10.77,2
8277,Entry long,2025-08-28 01:07,L @ 23592.5,23592.25,1,471845,95,0.02,10,100,0.02,-50,-0.01,-107735,-10.77,2
8278,Exit long,2025-08-28 01:13,SAR,23590.75,1,471855,-50,-0.01,10,0,0.00,-75,-0.02,-107785,-10.78,1
8278,Entry long,2025-08-28 01:12,L @ 23593,23592.75,1,471855,-50,-0.01,10,0,0.00,-75,-0.02,-107785,-10.78,1
8279,Exit long,2025-08-28 01:16,xL,23599,1,471875,95,0.02,10,100,0.02,-20,0.00,-107690,-10.77,1
8279,Entry long,2025-08-28 01:15,L @ 23594,23593.75,1,471875,95,0.02,10,100,0.02,-20,0.00,-107690,-10.77,1
8280,Exit short,2025-08-28 01:47,xS,23606.25,1,471955,-180,-0.04,10,35,0.01,-175,-0.04,-107870,-10.79,4
8280,Entry short,2025-08-28 01:43,S @ 23597.5,23597.75,1,471955,-180,-0.04,10,35,0.01,-175,-0.04,-107870,-10.79,4
8281,Exit short,2025-08-28 02:33,xS,23562,1,471420,170,0.04,10,175,0.04,-45,-0.01,-107700,-10.77,2
8281,Entry short,2025-08-28 02:31,S @ 23570.75,23571,1,471420,170,0.04,10,175,0.04,-45,-0.01,-107700,-10.77,2
8282,Exit long,2025-08-28 02:58,xL,23611,1,472090,120,0.03,10,125,0.03,-5,0.00,-107580,-10.76,1
8282,Entry long,2025-08-28 02:57,L @ 23604.75,23604.5,1,472090,120,0.03,10,125,0.03,-5,0.00,-107580,-10.76,1
8283,Exit short,2025-08-28 05:19,SAR,23586.5,1,471670,-70,-0.01,10,180,0.04,-100,-0.02,-107650,-10.76,4
8283,Entry short,2025-08-28 05:15,S @ 23583.25,23583.5,1,471670,-70,-0.01,10,180,0.04,-100,-0.02,-107650,-10.76,4
8284,Exit long,2025-08-28 06:00,xL,23625.5,1,472405,95,0.02,10,100,0.02,-70,-0.01,-107555,-10.76,1
8284,Entry long,2025-08-28 05:59,L @ 23620.5,23620.25,1,472405,95,0.02,10,100,0.02,-70,-0.01,-107555,-10.76,1
8285,Exit short,2025-08-28 23:49,xS,23668.75,1,473785,400,0.08,10,405,0.09,-185,-0.04,-107155,-10.72,3
8285,Entry short,2025-08-28 23:46,S @ 23689,23689.25,1,473785,400,0.08,10,405,0.09,-185,-0.04,-107155,-10.72,3
8286,Exit short,2025-08-28 23:54,xS,23620.5,1,472225,-195,-0.04,10,0,0.00,-190,-0.04,-107350,-10.73,0
8286,Entry short,2025-08-28 23:54,S @ 23611,23611.25,1,472225,-195,-0.04,10,0,0.00,-190,-0.04,-107350,-10.73,0
8287,Exit long,2025-08-28 23:56,xL,23598,1,472110,-160,-0.03,10,0,0.00,-155,-0.03,-107510,-10.75,0
8287,Entry long,2025-08-28 23:56,L @ 23605.75,23605.5,1,472110,-160,-0.03,10,0,0.00,-155,-0.03,-107510,-10.75,0
8288,Exit long,2025-08-28 23:59,xL,23597.75,1,471695,250,0.05,10,255,0.05,-225,-0.05,-107260,-10.73,1
8288,Entry long,2025-08-28 23:58,L @ 23585,23584.75,1,471695,250,0.05,10,255,0.05,-225,-0.05,-107260,-10.73,1
8289,Exit short,2025-08-29 00:05,xS,23632.75,1,472365,-300,-0.06,10,0,0.00,-295,-0.06,-107560,-10.76,0
8289,Entry short,2025-08-29 00:05,S @ 23618,23618.25,1,472365,-300,-0.06,10,0,0.00,-295,-0.06,-107560,-10.76,0
8290,Exit short,2025-08-29 00:13,SAR,23670,1,473280,-130,-0.03,10,180,0.04,-185,-0.04,-107690,-10.77,3
8290,Entry short,2025-08-29 00:10,S @ 23663.75,23664,1,473280,-130,-0.03,10,180,0.04,-185,-0.04,-107690,-10.77,3
8291,Exit long,2025-08-29 00:15,xL,23673,1,473270,180,0.04,10,185,0.04,-175,-0.04,-107510,-10.75,2
8291,Entry long,2025-08-29 00:13,L @ 23663.75,23663.5,1,473270,180,0.04,10,185,0.04,-175,-0.04,-107510,-10.75,2
8292,Exit short,2025-08-29 00:16,xS,23673.5,1,473280,-200,-0.04,10,0,0.00,-195,-0.04,-107710,-10.77,0
