file,family,scale,scale_anomaly,n,joined,med_dev_pts,frac_within_5pts,order_violations,in_span,ok
glbx-mdp3-20251006.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251007.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20251008.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251009.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251010.mbp-10_condensed.csv,B,decimal,False,120,120,0.125,1.0,0,True,True
glbx-mdp3-20251013.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251014.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251015.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251016.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251017.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251020.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251021.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251022.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251023.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251024.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251027.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251028.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251029.mbp-10_condensed.csv,B,decimal,False,120,120,0.25,1.0,0,True,True
glbx-mdp3-20251030.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251031.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251103.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251104.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251105.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
glbx-mdp3-20251106.mbp-10_condensed.csv,B,decimal,False,120,120,0.375,1.0,0,True,True
