file,family,date,session,scale_detected,n_minutes,n_joined,med_dev_pts,frac_within_5pts,ok
glbx-mdp3-20251006.mbp-10_condensed.csv,B,2025-10-06,london,decimal,120,120,0.25,1.0,True
glbx-mdp3-20251015.mbp-10_condensed.csv,B,2025-10-15,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20251024.mbp-10.csv,A,2025-10-24,ny_am,fixed1e9,150,150,0.25,0.9933333333333333,True
glbx-mdp3-20251024.mbp-10_condensed.csv,B,2025-10-24,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20251103.mbp-10.csv,A,2025-11-03,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251103.mbp-10_condensed.csv,B,2025-11-03,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20251112.mbp-10.csv,A,2025-11-12,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251112.mbp-10_condensed.csv,B,2025-11-12,london,decimal,120,120,0.25,1.0,True
glbx-mdp3-20251121.mbp-10_condensed.csv,B,2025-11-21,london,decimal,121,121,0.375,1.0,True
glbx-mdp3-20251201.mbp-10_condensed.csv,B,2025-12-01,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20251210.mbp-10_condensed.csv,B,2025-12-10,london,decimal,120,120,0.25,1.0,True
glbx-mdp3-20251219.mbp-10_condensed.csv,B,2025-12-19,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20251229.mbp-10_condensed.csv,B,2025-12-29,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20260107.mbp-10_condensed.csv,B,2026-01-07,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20260116.mbp-10_condensed.csv,B,2026-01-16,london,decimal,120,120,0.25,1.0,True
glbx-mdp3-20260126.mbp-10_condensed.csv,B,2026-01-26,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250617.mbp-10.csv,A,2025-06-17,ny_am,fixed1e9,150,150,224.5,0.0,False
glbx-mdp3-20250617.mbp-10_condensed.csv,B,2025-06-17,london,decimal,120,120,224.625,0.0,False
condensed_glbx-mdp3-20250626.mbp-10.csv,A,2025-06-26,ny_am,fixed1e9,150,150,0.125,1.0,True
glbx-mdp3-20250626.mbp-10_condensed.csv,B,2025-06-26,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250715.mbp-10.csv,A,2025-07-15,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250715.mbp-10_condensed.csv,B,2025-07-15,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250724.mbp-10.csv,A,2025-07-24,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250724.mbp-10_condensed.csv,B,2025-07-24,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250812.mbp-10.csv,A,2025-08-12,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250812.mbp-10_condensed.csv,B,2025-08-12,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250821.mbp-10.csv,A,2025-08-21,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250821.mbp-10_condensed.csv,B,2025-08-21,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250909.mbp-10.csv,A,2025-09-09,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250909.mbp-10_condensed.csv,B,2025-09-09,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250918.mbp-10.csv,A,2025-09-18,ny_am,fixed1e9,150,150,243.625,0.0,False
glbx-mdp3-20250918.mbp-10_condensed.csv,B,2025-09-18,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20251007.mbp-10.csv,A,2025-10-07,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251007.mbp-10_condensed.csv,B,2025-10-07,london,decimal,120,120,0.125,1.0,True
glbx-mdp3-20251016.mbp-10_condensed.csv,B,2025-10-16,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20251104.mbp-10.csv,A,2025-11-04,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20251104.mbp-10_condensed.csv,B,2025-11-04,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20251113.mbp-10.csv,A,2025-11-13,ny_am,fixed1e9,150,150,0.375,1.0,True
glbx-mdp3-20251113.mbp-10_condensed.csv,B,2025-11-13,london,decimal,120,120,0.5,1.0,True
glbx-mdp3-20251202.mbp-10_condensed.csv,B,2025-12-02,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20251211.mbp-10_condensed.csv,B,2025-12-11,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20251230.mbp-10_condensed.csv,B,2025-12-30,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20260108.mbp-10_condensed.csv,B,2026-01-08,london,decimal,120,120,0.375,1.0,True
glbx-mdp3-20260127.mbp-10_condensed.csv,B,2026-01-27,london,decimal,120,120,0.375,1.0,True
condensed_glbx-mdp3-20250609.mbp-10.csv,A,2025-06-09,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250609.mbp-10_condensed.csv,B,2025-06-09,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250618.mbp-10.csv,A,2025-06-18,ny_am,fixed1e9,150,150,223.625,0.0,False
glbx-mdp3-20250618.mbp-10_condensed.csv,B,2025-06-18,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250627.mbp-10.csv,A,2025-06-27,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250627.mbp-10_condensed.csv,B,2025-06-27,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250707.mbp-10.csv,A,2025-07-07,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250707.mbp-10_condensed.csv,B,2025-07-07,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250716.mbp-10.csv,A,2025-07-16,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250716.mbp-10_condensed.csv,B,2025-07-16,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250725.mbp-10.csv,A,2025-07-25,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250725.mbp-10_condensed.csv,B,2025-07-25,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250804.mbp-10.csv,A,2025-08-04,ny_am,fixed1e9,150,150,0.125,1.0,True
glbx-mdp3-20250804.mbp-10_condensed.csv,B,2025-08-04,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250813.mbp-10.csv,A,2025-08-13,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250813.mbp-10_condensed.csv,B,2025-08-13,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250822.mbp-10.csv,A,2025-08-22,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250822.mbp-10_condensed.csv,B,2025-08-22,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250901.mbp-10.csv,A,2025-09-01,ny_am,fixed1e9,150,150,0.125,1.0,True
glbx-mdp3-20250901.mbp-10_condensed.csv,B,2025-09-01,london,decimal,120,120,0.25,1.0,True
condensed_glbx-mdp3-20250910.mbp-10.csv,A,2025-09-10,ny_am,fixed1e9,150,150,0.25,1.0,True
glbx-mdp3-20250910.mbp-10_condensed.csv,B,2025-09-10,london,decimal,120,120,0.125,1.0,True
condensed_glbx-mdp3-20250919.mbp-10.csv,A,2025-09-19,ny_am,fixed1e9,97,97,243.875,0.0,False
glbx-mdp3-20250919.mbp-10_condensed.csv,B,2025-09-19,london,decimal,120,120,0.25,1.0,True
