window,day,month,fill_ts,direction,risk_pts,dollars,win,exit_reason,r_multiple
pre,2026-04-30,2026-04,2026-04-30T08:36:00-04:00,short,50.5,1887.5,True,target,3.7475
golden,2026-04-30,2026-04,2026-04-30T09:48:00-04:00,short,42.75,1342.5,True,target,3.152
pre,2026-05-01,2026-05,2026-05-01T08:51:00-04:00,long,13.75,810.0,True,target,2.9636
pre,2026-05-01,2026-05,2026-05-01T09:26:00-04:00,long,2.5,-60.0,False,stop,-1.1
pre,2026-05-04,2026-05,2026-05-04T08:13:00-04:00,long,20.0,-410.0,False,stop,-1.0125
pre,2026-05-04,2026-05,2026-05-04T08:18:00-04:00,long,20.25,-415.0,False,stop,-1.0123
golden,2026-05-04,2026-05,2026-05-04T10:06:00-04:00,short,23.75,-500.0,False,stop,-1.0421
pre,2026-05-05,2026-05,2026-05-05T08:03:00-04:00,short,7.25,-155.0,False,stop,-1.0345
golden,2026-05-05,2026-05,2026-05-05T10:00:00-04:00,long,4.75,-120.0,False,stop,-1.2105
golden,2026-05-05,2026-05,2026-05-05T10:03:00-04:00,long,20.75,-440.0,False,stop,-1.0482
pre,2026-05-06,2026-05,2026-05-06T08:06:00-04:00,short,46.25,762.5,True,target,1.6595
pre,2026-05-06,2026-05,2026-05-06T09:17:00-04:00,long,20.5,-420.0,False,stop,-1.0122
golden,2026-05-06,2026-05,2026-05-06T09:41:00-04:00,long,45.25,-460.0,False,stop,-1.0055
golden,2026-05-06,2026-05,2026-05-06T10:07:00-04:00,short,52.75,-535.0,False,stop,-1.0047
pre,2026-05-07,2026-05,2026-05-07T08:06:00-04:00,long,4.5,490.0,True,target,5.5
pre,2026-05-07,2026-05,2026-05-07T08:56:00-04:00,short,12.5,-260.0,False,stop,-1.02
golden,2026-05-07,2026-05,2026-05-07T09:46:00-04:00,short,70.5,-712.5,False,stop,-1.0035
golden,2026-05-08,2026-05,2026-05-08T10:09:00-04:00,long,14.25,-310.0,False,stop,-1.0702
golden,2026-05-08,2026-05,2026-05-08T10:11:00-04:00,long,2.25,-70.0,False,stop,-1.4444
pre,2026-05-11,2026-05,2026-05-11T08:04:00-04:00,short,20.75,785.0,True,target,1.9036
pre,2026-05-11,2026-05,2026-05-11T08:21:00-04:00,short,36.5,-740.0,False,stop,-1.0068
golden,2026-05-11,2026-05,2026-05-11T09:55:00-04:00,short,35.25,-715.0,False,stop,-1.0071
golden,2026-05-12,2026-05,2026-05-12T09:41:00-04:00,long,94.5,-952.5,False,stop,-1.0026
golden,2026-05-12,2026-05,2026-05-12T09:58:00-04:00,short,99.25,-122.5,False,eod,-0.1184
golden,2026-05-13,2026-05,2026-05-13T09:41:00-04:00,short,33.25,-675.0,False,stop,-1.0075
golden,2026-05-13,2026-05,2026-05-13T09:44:00-04:00,short,28.25,1480.0,True,target,2.6283
pre,2026-05-14,2026-05,2026-05-14T08:01:00-04:00,short,13.25,-275.0,False,stop,-1.0189
pre,2026-05-14,2026-05,2026-05-14T08:07:00-04:00,long,14.5,-315.0,False,stop,-1.069
golden,2026-05-14,2026-05,2026-05-14T10:07:00-04:00,long,18.0,-370.0,False,stop,-1.0139
pre,2026-05-15,2026-05,2026-05-15T09:22:00-04:00,long,5.75,-125.0,False,stop,-1.0435
pre,2026-05-15,2026-05,2026-05-15T09:24:00-04:00,short,3.0,-70.0,False,stop,-1.0833
golden,2026-05-15,2026-05,2026-05-15T09:41:00-04:00,short,17.5,-360.0,False,stop,-1.0143
golden,2026-05-15,2026-05,2026-05-15T09:55:00-04:00,long,88.75,-895.0,False,stop,-1.0028
pre,2026-05-18,2026-05,2026-05-18T08:06:00-04:00,long,36.75,1260.0,True,target,1.7211
pre,2026-05-18,2026-05,2026-05-18T08:37:00-04:00,long,72.75,-735.0,False,stop,-1.0034
golden,2026-05-18,2026-05,2026-05-18T10:10:00-04:00,long,121.25,-1220.0,False,stop,-1.0021
pre,2026-05-19,2026-05,2026-05-19T08:37:00-04:00,long,45.5,-462.5,False,stop,-1.0055
pre,2026-05-19,2026-05,2026-05-19T09:07:00-04:00,short,41.25,1310.0,True,target,1.5939
golden,2026-05-19,2026-05,2026-05-19T09:49:00-04:00,short,9.5,-215.0,False,stop,-1.1053
golden,2026-05-19,2026-05,2026-05-19T09:51:00-04:00,short,75.0,-765.0,False,stop,-1.0133
pre,2026-05-20,2026-05,2026-05-20T09:22:00-04:00,long,15.5,-320.0,False,stop,-1.0161
pre,2026-05-20,2026-05,2026-05-20T09:28:00-04:00,short,36.0,-730.0,False,stop,-1.0069
golden,2026-05-20,2026-05,2026-05-20T09:42:00-04:00,long,55.5,-562.5,False,stop,-1.0045
pre,2026-05-21,2026-05,2026-05-21T09:04:00-04:00,long,36.0,-730.0,False,stop,-1.0069
golden,2026-05-21,2026-05,2026-05-21T09:42:00-04:00,long,34.5,-715.0,False,stop,-1.029
golden,2026-05-21,2026-05,2026-05-21T09:45:00-04:00,short,23.75,-500.0,False,stop,-1.0421
pre,2026-05-22,2026-05,2026-05-22T08:01:00-04:00,long,8.75,-185.0,False,stop,-1.0286
pre,2026-05-22,2026-05,2026-05-22T08:26:00-04:00,long,23.5,985.0,True,target,2.1064
golden,2026-05-22,2026-05,2026-05-22T09:45:00-04:00,long,27.5,-575.0,False,stop,-1.0364
golden,2026-05-22,2026-05,2026-05-22T09:52:00-04:00,short,39.5,2265.0,True,target,2.8734
pre,2026-05-25,2026-05,2026-05-25T08:03:00-04:00,long,2.5,-60.0,False,stop,-1.1
