day,ft,oos,R,pl,big_R2,reach4,gap_abs,gap_pts,expiry_week,cvd_5,cvd_15,cvd_30,cvd_norm_15,abs_cvd_15,delta_div_15,absorp_15,vol_15,vol_30,stack_bid_bin,stack_ask_bin,absorp_atr,absorp_rel,vol_15_rel,vol_30_rel,stack_bid_exc,stack_ask_exc
2025-11-24,2025-11-24 13:59:00+00:00,False,-1.0263157894736843,-312.0,False,False,196.5,196.5,False,-310.0,-266.0,-358.0,-0.06095325389550871,266.0,0.0,94.8695652173913,4364.0,7488.0,0.0,1.0,7.959094609998371,0.9227049396713162,1.1513752391003231,0.9893638105304882,-0.6666666666666666,0.31666666666666665
2025-11-26,2025-11-26 13:06:00+00:00,False,2.2045454545454546,679.0,True,True,92.75,92.75,False,299.0,275.0,707.0,0.1305173232083531,275.0,0.0,93.64444444444445,2107.0,5327.0,1.0,1.0,3.6896713468213513,1.201129165431663,0.9218989280245024,1.1982904060285682,0.23333333333333328,0.2666666666666667
2025-11-27,2025-11-27 13:23:00+00:00,False,1.6517857142857142,161.875,False,False,1.75,1.75,False,27.0,-94.0,-105.0,-0.13314447592067988,94.0,0.0,61.391304347826086,706.0,1213.0,1.0,1.0,1.24554218385735,0.7874347121554225,0.261094674556213,0.23446409587319997,0.23333333333333328,0.2666666666666667
2025-12-01,2025-12-01 13:06:00+00:00,False,-1.027027027027027,-114.0,False,False,,,False,129.0,218.0,-111.0,0.06423099587507367,218.0,0.0,107.74603174603175,3394.0,6253.0,0.0,1.0,6.634459648142977,1.4382868233008057,1.5011057054400707,1.4065909346530199,-0.7666666666666667,0.2666666666666667
2025-12-03,2025-12-03 13:05:00+00:00,False,1.5446428571428572,151.375,False,False,59.0,59.0,False,28.0,45.0,200.0,0.03202846975088968,45.0,1.0,122.17391304347827,1405.0,2492.0,0.0,1.0,2.8562093875921155,1.5920625218902158,0.561943805619438,0.502672718103883,-0.7666666666666667,0.2666666666666667
2025-12-04,2025-12-04 13:01:00+00:00,False,-1.0571428571428572,-203.5,False,False,0.25,0.25,False,17.0,-19.0,-64.0,-0.017707362534948742,19.0,0.0,58.0,1073.0,2544.0,0.0,0.0,2.348563611491108,0.6631767461082793,0.44467467882304185,0.5453376205787781,-0.7666666666666667,-0.6333333333333333
2025-12-05,2025-12-05 13:21:00+00:00,False,2.9545454545454546,292.5,True,True,75.0,75.0,False,-188.0,-172.0,-133.0,-0.11241830065359477,172.0,0.0,57.19626168224299,1530.0,2525.0,1.0,1.0,3.479108295772932,0.7453311623416595,0.8903113180098924,0.8058082016913994,0.23333333333333328,0.3666666666666667
2025-12-09,2025-12-09 13:02:00+00:00,False,-1.0476190476190477,-220.0,False,False,12.0,-12.0,False,-122.0,-27.0,-2.0,-0.019751280175566936,27.0,1.0,50.629629629629626,1367.0,2480.0,0.0,1.0,4.657297560382064,0.5789033281800879,1.0112816719067874,0.9558681826941607,-0.6,0.3666666666666667
2025-12-09,2025-12-09 13:17:00+00:00,False,1.6160714285714286,316.75,False,True,12.0,-12.0,False,-27.0,6.0,-21.0,0.005291005291005291,6.0,1.0,54.0,1134.0,2501.0,1.0,1.0,3.863478736995802,0.617440418790467,0.8389125208063621,0.9639622277895549,0.4,0.3666666666666667
2025-12-10,2025-12-10 13:04:00+00:00,False,-1.05,-105.0,False,False,55.0,-55.0,False,76.0,155.0,92.0,0.16976998904709747,155.0,0.0,41.03370786516854,913.0,2000.0,1.0,0.0,3.133803248544284,0.46918277349620996,0.695221778031601,0.7785888077858881,0.4,-0.6333333333333333
