ft,day,oos,bar,peak_R,R,pl,resume,cvd_roll_dir,cvd_since_dir,imb_roll_dir,absorp_roll,delta_div_roll
2025-11-27 13:23:00+00:00,2025-11-27,False,8,2.5714285714285716,1.6517857142857142,161.875,True,270.0,262.0,0.24193548387096775,44.198019801980195,0.0
2025-12-03 13:05:00+00:00,2025-12-03,False,10,2.2857142857142856,1.5446428571428572,151.375,False,134.0,106.0,0.0780885780885781,74.6086956521739,0.0
2025-12-04 13:01:00+00:00,2025-12-04,False,5,1.0285714285714285,-1.0571428571428572,-203.5,True,80.0,76.0,0.060790273556231005,50.61538461538461,0.0
2025-12-05 13:21:00+00:00,2025-12-05,False,19,3.878787878787879,2.9545454545454546,292.5,True,506.0,798.0,0.09301470588235294,84.01544401544402,0.0
2025-12-09 13:17:00+00:00,2025-12-09,False,7,2.7142857142857144,1.6160714285714286,316.75,True,121.0,64.0,0.08515130190007038,53.12149532710281,0.0
2025-12-11 13:32:00+00:00,2025-12-11,False,59,1.8405797101449275,2.2028985507246377,152.0,True,164.0,-252.0,0.014005123825789924,127.28260869565217,0.0
2025-12-23 13:04:00+00:00,2025-12-23,True,34,2.6140350877192984,2.9473684210526314,588.0,True,515.0,567.0,0.16758867556134072,70.64367816091954,0.0
2025-12-23 13:05:00+00:00,2025-12-23,True,16,1.0392156862745099,0.2549019607843137,52.0,True,84.0,74.0,0.07706422018348624,53.82716049382716,0.0
2025-12-23 13:32:00+00:00,2025-12-23,True,4,2.5,2.2777777777777777,451.0,True,282.0,315.0,0.13352272727272727,67.04761904761905,0.0
2025-12-26 14:00:00+00:00,2025-12-26,True,31,1.336734693877551,0.1326530612244898,13.0,False,442.0,471.0,0.0740120562625586,129.82608695652175,0.0
2025-12-31 13:25:00+00:00,2025-12-31,True,17,2.0,1.14,171.0,True,48.0,39.0,0.01981833195706028,80.73333333333333,0.0
2025-12-31 13:40:00+00:00,2025-12-31,True,8,1.5932203389830508,1.7627118644067796,520.0,True,-3.0,1.0,-0.001073345259391771,70.75949367088607,1.0
2026-02-05 13:40:00+00:00,2026-02-05,True,12,1.0751173708920188,0.2769953051643192,29.5,True,173.0,236.0,0.02276615344124227,68.76923076923077,0.0
2026-02-10 13:35:00+00:00,2026-02-10,True,13,1.2666666666666666,1.29,145.125,True,77.0,-102.0,0.016823246668123223,115.87341772151899,0.0
2026-02-12 13:34:00+00:00,2026-02-12,True,5,1.819672131147541,1.1967213114754098,109.5,True,312.0,115.0,0.08253968253968254,57.93103448275862,0.0
2026-02-16 14:01:00+00:00,2026-02-16,True,11,2.8448275862068964,1.637931034482759,237.5,True,215.0,134.0,0.11203751954142782,34.42152466367713,0.0
2026-02-17 13:01:00+00:00,2026-02-17,True,5,1.4698795180722892,2.7349397590361444,227.0,True,253.0,291.0,0.08297802558215808,59.49268292682927,0.0
2026-02-19 13:39:00+00:00,2026-02-19,True,1,1.5416666666666667,-0.2239583333333333,-43.0,False,273.0,-17.0,0.04634187744016296,70.97590361445783,0.0
2026-02-23 13:05:00+00:00,2026-02-23,True,3,1.2,10.228571428571428,1969.0,True,164.0,92.0,0.06867671691792294,68.22857142857143,0.0
2026-02-24 13:03:00+00:00,2026-02-24,True,1,1.1111111111111112,3.0625,606.375,True,155.0,-13.0,0.048151599875737805,78.99386503067484,0.0
2026-02-24 13:03:00+00:00,2026-02-24,True,1,1.054054054054054,6.702702702702703,1364.0,True,155.0,-13.0,0.048151599875737805,78.99386503067484,0.0
2026-02-25 13:21:00+00:00,2026-02-25,True,11,1.1282051282051282,-1.051282051282051,-205.0,True,281.0,263.0,0.16365754222481071,90.36842105263158,0.0
2026-02-25 14:23:00+00:00,2026-02-25,True,7,1.1851851851851851,1.9074074074074077,360.5,True,417.0,437.0,0.05367486162955335,225.18840579710144,0.0
2026-03-09 13:01:00+00:00,2026-03-09,True,4,1.9583333333333333,5.222222222222222,1128.0,True,117.0,120.0,0.025418205518140342,73.35458167330677,0.0
2026-03-13 12:31:00+00:00,2026-03-13,True,15,1.471698113207547,0.710691823899371,169.5,False,704.0,704.0,0.12544547398431932,57.55897435897436,0.0
2026-03-17 12:26:00+00:00,2026-03-17,True,2,1.0416666666666667,10.75,3096.0,True,193.0,34.0,0.06044472283119324,93.22627737226277,0.0
2026-03-17 12:56:00+00:00,2026-03-17,True,4,1.6071428571428572,6.232142857142857,1221.5,True,188.0,87.0,0.09740932642487046,105.75342465753425,0.0
