day,stance,stance_asked,health_override,book,act,size,pl,oracle,hit,orc,e3,e4
2024-07-12,risk_on,risk_on,False,ROTATION,ROTATION,1.0,11,MOMENTUM,False,560,11,560
2024-07-15,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-600,FLAT,False,0,-375,-600
2024-07-16,risk_on,risk_on,False,ROTATION,ROTATION,1.0,370,ROTATION,True,370,370,-240
2024-07-17,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-445,FLAT,False,0,-520,-445
2024-07-18,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,620,ROTATION,False,898,898,620
2024-07-19,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-310,-65
2024-07-22,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-650,FLAT,False,0,-175,-650
2024-07-23,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-330,-280
2024-07-24,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,275,MOMENTUM,True,275,-175,275
2024-07-25,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-435,-45
2024-07-26,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,1122,-635,1122
2024-07-29,risk_off,risk_off,False,MOMENTUM,FLAT,0.0,0,MOMENTUM,False,750,-132,750
2024-07-30,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-25,-15
2024-07-31,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-755,-515
2024-08-01,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-40,FLAT,False,0,-540,-40
2024-08-02,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-15,0
2024-08-06,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-398,0
2024-08-07,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-510,FLAT,False,0,-705,-510
2024-08-09,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-126,0
2024-08-12,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-295,FLAT,False,0,-420,-295
2024-08-13,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,390,-820,390
2024-08-14,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-260,0
2024-08-15,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,680,MOMENTUM,True,680,-180,680
2024-08-16,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-250,FLAT,False,0,-250,-250
2024-08-19,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-610,FLAT,False,0,-180,-610
2024-08-20,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,50,MOMENTUM,True,50,21,50
2024-08-21,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,MOMENTUM,False,205,-245,205
2024-08-22,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-260,FLAT,False,0,-184,-260
2024-08-23,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,ROTATION,False,241,241,55
2024-08-26,risk_off,risk_off,False,CHAMPION,FLAT,0.0,0,FLAT,True,0,-400,-605
2024-08-27,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,280,MOMENTUM,True,280,-555,280
2024-08-28,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,60,ROTATION,False,936,936,60
2024-08-29,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-355,FLAT,False,0,-430,-355
2024-08-30,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,-130,FLAT,False,0,-545,-130
2024-09-02,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,5,MOMENTUM,True,5,-310,5
2024-09-03,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,90,MOMENTUM,True,90,0,90
2024-09-04,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,310,MOMENTUM,True,310,-385,310
2024-09-05,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,2445,MOMENTUM,True,2445,0,2445
2024-09-06,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,0,FLAT,False,0,-210,0
2024-09-09,risk_on,risk_on,False,CHAMPION,MOMENTUM,1.0,405,MOMENTUM,True,405,164,405
2024-09-10,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-190,FLAT,False,0,-278,-190
2024-09-11,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-305,ROTATION,False,281,281,-305
2024-09-12,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,130,MOMENTUM,True,130,-370,130
2024-09-13,risk_on,risk_on,False,MOMENTUM,MOMENTUM,1.0,-375,ROTATION,False,249,249,-375
